b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
32974,32523,32487,33835,33497,34127,33023,33221,32239,32731,34766,33003,31557,33719
24982,27588,25923,27216,27751,30021,32060,30744,29644,30199,32148,30633,30572,29013
24031,25038,26315,24957,26389,30573,29628,28788,35796,31257,30789,31832,30761,28804
23631,23848,23946,24220,24786,30744,32022,34086,29279,29717,37248,30948,30665,36153
23741,23958,22660,22621,24216,28031,28919,29337,28572,29915,31267,30504,31153,28695
23512,23507,23055,22677,23692,30058,27380,27868,27421,28837,29974,30012,31603,29551
22690,23646,23333,22011,21347,29236,28360,27372,28253,30498,30619,29787,30654,27977
22994,22966,21636,21044,20459,28795,27300,28583,29581,28755,29751,30885,30115,28693
22469,35061,21799,20993,20644,28411,27906,27205,30282,29804,30264,29537,30298,28083
22269,22906,21676,20349,20138,24177,27000,26950,32911,30455,37227,30323,33721,27575
22399,22921,21387,20237,19600,26901,26566,32054,29173,29430,30620,30675,29769,29775
22444,22096,21054,20404,20003,36794,27388,27336,28394,30321,29112,31121,28482,28895
22351,36037,31673,20180,19375,28050,25112,27169,28910,29762,30371,30816,31736,28518
22329,22153,21075,20734,20358,28918,25388,43314,27463,29968,30494,31618,29457,29509
22276,22276,20806,20037,18779,28913,25874,27446,26975,29743,30070,29722,29993,27951
22577,21995,20875,20513,19098,27544,26609,27401,28352,29835,29862,29775,27931,34271
22012,22123,20900,20040,19966,27369,26747,26800,28096,30094,31065,31155,27811,28508
22004,22051,20639,18516,20893,29960,26947,27467,29037,29590,29010,31419,28337,28596
21894,25833,20526,18709,18086,27745,39601,26701,27020,29723,30462,33051,27687,30186
22115,21984,20109,18550,17918,29153,25729,27197,28337,29031,30406,30823,28206,29765
22145,21783,20293,18069,18550,28132,34276,27494,27880,30730,37935,30263,28453,27711
22114,21523,20137,18225,19845,37093,26996,25639,27335,29360,29855,44519,27857,27968
21637,21582,19848,17914,18542,25088,25780,27995,27942,29330,30005,30495,28117,28966
22091,21836,20340,18096,18914,26347,26343,27711,27413,29266,29799,29670,28566,28891
21832,21778,30260,18149,18258,25972,26562,27219,29297,31228,29516,29839,28503,27786
21884,21422,20112,17953,17985,26905,25633,27279,28321,30022,29622,30103,28828,30097
21411,21162,19646,17833,18364,26190,25948,27303,27450,30238,29546,31673,30204,26789
21506,21081,19904,18057,17987,26201,25627,28610,25480,30083,30670,30252,29100,30342
21171,21225,19712,17651,19718,23976,26223,27353,28343,29885,29315,30375,29745,39700
20872,21487,19807,17795,18974,25068,25413,26186,29408,30677,30167,30678,29337,28098
21119,20644,19578,17674,18271,26773,26175,28542,28121,31095,44571,30623,30071,28599
21104,20726,19501,17642,18457,23219,25569,27300,28973,29752,30334,30910,30570,29190
21383,20625,19281,17821,18481,24176,26646,27396,28573,30009,37882,30234,29305,30670
21477,20891,19220,17814,17598,23179,25612,28407,29832,29564,29725,29397,29191,39259
21136,20482,19358,17578,17600,23060,26576,28198,29636,29628,30079,31715,30330,28165
21193,20508,19351,17656,18158,25735,26251,27506,26373,30204,30277,30458,30634,28475
21412,20515,19268,17590,18068,24547,26101,27686,27053,28858,29706,30949,29928,29175
20933,20285,19207,17702,17960,23026,26799,26900,29672,28969,30032,30678,30940,28026
20700,20511,18984,17531,17674,22524,26608,26766,29771,29461,29722,31079,29491,29908
20504,20391,19269,17650,18140,24450,26588,27890,26554,30116,35289,41746,28114,30029
20816,20412,19017,25884,18811,22714,25688,26559,28307,29052,30856,32011,28750,27502
21032,20536,18864,17429,17664,22316,25928,27665,27458,30107,30488,31099,28575,27551
20954,21686,19933,17502,17943,25574,26391,27098,27789,29525,30746,31570,28976,29487
20861,20091,18880,17478,17423,28247,25931,27074,27105,29656,32974,29694,29956,29015
20727,20071,18814,17390,17539,26242,27958,27986,27561,30242,27194,30089,43170,27541
21006,20128,18953,18204,18400,24621,26444,26356,27299,29927,27749,31477,29510,30603
22843,20371,18701,17482,18560,23787,26005,27451,27414,28640,27983,31901,31339,28438
23036,20274,17829,17554,17888,21252,26205,26522,27277,29920,28168,65924,35522,30477
22506,27840,17845,17561,18085,22228,26014,28175,26580,29656,27592,29614,30211,31193
20809,20056,17553,18097,17690,23050,25736,29233,27216,29556,28635,30543,30267,27986
20916,19883,17863,17430,17978,22032,25589,27008,27202,30460,27088,30376,29711,29064
20432,20127,17823,17933,18134,22524,25771,26771,27598,31322,27938,32690,30649,28620
20725,19995,20632,17491,17735,22167,26158,26425,28473,30422,28288,31141,30847,28381
20515,19723,17757,17308,17572,21690,25898,28482,28521,30629,27625,29737,29975,27749
20839,19328,17588,17307,17627,21211,26066,28538,30387,30530,28690,29888,29763,296484
20457,19449,17860,17365,17581,23305,25677,28054,28646,30229,29297,31083,30365,31921
20376,19650,17861,17570,18076,25909,42454,27268,28901,29545,29235,30774,29994,32146
20812,19728,17749,17515,22558,25228,26748,27180,30023,29591,27693,31877,29858,31321
20876,19738,17755,17453,21564,25794,35532,27726,29378,28784,28757,31638,30678,31548
20126,19347,17466,17537,23552,26672,26231,26374,30331,30850,27846,29279,31109,31527
20026,19703,17743,17696,24541,26931,25890,28826,28705,30297,29115,33438,30361,32855
20217,19350,17445,17438,23161,26878,27540,26957,28328,29063,28752,29815,31344,28590
20287,19439,17637,17704,24820,27629,25779,27765,28665,30730,28123,46885,43113,28394
20330,19487,17493,17505,24064,27503,25985,27357,28912,30337,28620,29845,30189,28294
20063,19420,17468,17600,23843,26103,26707,27438,28989,30083,27349,29859,30068,30672
20154,19004,17759,17306,22964,26180,25827,27377,28605,29510,27143,30287,30271,30615
20387,18976,17548,17576,24117,27119,26159,28730,29404,29777,28372,30595,29787,30205
20181,18736,17596,17767,23358,26074,25848,28527,28857,29996,33639,31616,34033,31743
20022,18900,17701,17566,23068,27776,25499,27939,30501,45361,28781,30054,30225,28498
20182,18857,17577,17242,24665,26785,26610,27625,29435,30444,28912,34430,30587,39720
21280,19038,17823,17474,24146,28622,25767,27378,29482,29881,29874,29169,29710,28182
21717,18831,17641,17359,23071,29024,26284,27288,29124,29878,34348,30662,30177,30492
21669,18597,17788,17224,24391,28406,41652,27747,27720,30653,32536,30399,29819,27917
20259,18924,17748,17832,23992,28294,26628,27838,27984,30118,28254,30459,30735,27351
19950,18540,17471,17345,23865,29308,26824,28648,27632,29867,28579,43754,30513,30203
19814,18817,17623,17571,24675,28435,42970,26695,28188,29973,33703,32562,27575,28307
20013,18808,17746,17573,25056,28322,26677,26920,29823,30463,33000,30446,29512,31556
19814,18790,17827,17858,32054,28552,25682,28578,29221,30601,31609,32484,35603,42442
19890,18397,17724,17482,24690,28165,25454,28334,29275,30208,30141,31322,30783,28001
19626,18710,17804,17434,24269,28996,26734,27609,28428,30273,32241,31378,30499,28450
19855,18767,17545,17699,23427,28945,26975,28303,28981,29637,30966,30617,30393,28209
19823,18728,17585,17506,23554,27914,27282,27817,29606,31017,31068,30173,30318,30140
19618,25091,17664,17333,24748,28204,26784,29156,28319,30017,31593,30572,30754,27864
19632,18586,17391,17656,22986,33518,26176,28344,29448,42561,30644,37473,30635,36613
19365,18656,17598,17283,21909,28093,26616,28009,42280,30556,31287,29695,29743,33808
19334,18614,17554,17360,19362,27550,26193,26273,29280,30073,30415,27926,29970,31097
19595,18663,17646,17334,17994,26876,26531,27771,29818,30091,32305,44725,30338,32688
26095,18338,17614,17329,18706,28059,27510,27846,28577,29254,31035,27672,31092,30484
19580,18667,17546,17365,18265,28302,42551,26977,29208,29682,31701,27456,30116,27999
19562,18161,17607,17764,18273,30023,26824,27742,26705,34233,30986,27711,28270,29809
19597,18678,17465,17742,18895,30328,25539,27812,28715,28419,30015,41147,27519,28199
19330,18528,17556,17945,19043,29752,26843,30817,28170,28365,30760,28460,31905,31214
19949,18665,17590,17267,18454,29423,26811,26609,35125,28588,29593,28402,40661,34217
21243,18506,17573,17249,18177,28346,43648,27792,29724,38676,30849,27333,29957,44016
21032,18404,17561,17384,17949,29068,24960,27124,36653,28030,31081,28782,29587,27442
20676,18345,17466,17116,18301,27957,26127,27646,29652,27545,29665,27848,28813,30304
19328,18259,17350,17426,18258,27610,25475,28519,26641,29425,29321,27541,31212,27676
19228,18448,17653,17346,18115,28807,26160,28903,27248,28650,30934,43006,30636,28220
19137,18362,17498,17750,17881,28467,26162,28336,28217,27072,31834,41514,29880,30341
19127,18280,17565,17249,17690,29068,26006,27870,27737,27278,30476,28189,32629,28438
18877,18225,17569,17273,17657,28609,27377,27098,35320,27554,30968,27984,40021,29581
19406,18565,17437,17336,17296,28161,26324,27619,33163,29186,30108,29340,29808,36147
19195,18301,17634,17327,17389,27944,25895,27822,29815,27234,30071,31812,28411,28441
19149,18303,17664,17814,17835,26218,26121,26321,33099,27102,30183,31347,27808,28859
19263,18229,17544,17287,17515,26694,26794,28594,28200,27149,30776,30306,28442,27907
19134,18255,17731,17318,17471,27261,26020,26871,27035,27288,38962,32900,33328,28671
19029,18178,17567,17410,18593,27698,26809,26075,27385,27636,29516,30597,29889,29759
19315,18225,17948,17387,17896,29089,26675,27515,27334,27153,30882,29227,32496,33612
19345,18029,22473,17258,17718,29124,25556,27582,28846,27907,31583,30721,29816,28447
19006,18075,17742,17429,18042,28727,25708,27842,27803,27630,31647,30000,43061,27483
18920,18146,17627,17514,17564,26800,26323,26642,28160,28126,29965,31763,30286,31579
18882,18217,17644,17403,21445,29209,26470,26783,28307,27754,29950,31010,31236,30093
18855,18023,17901,17159,21836,29185,40692,26322,28445,27174,30588,30030,30123,37555
18928,18052,17643,17393,21513,29299,26791,27272,27029,27913,30076,46029,30499,31122
19228,17960,17715,17521,22621,29451,27471,27220,29775,28266,29173,32325,33004,33357
19103,18518,17561,17609,22746,40159,26276,27530,28228,28396,29922,30270,39227,36062
32258,18331,17763,17556,22781,28209,26626,26515,27636,28225,34563,29465,29002,28133
20301,17998,17664,17730,23488,28519,25410,27847,34745,27424,27911,30398,30552,36204
21210,18140,17651,17748,22814,27798,26052,27393,28578,27448,30245,36429,30772,27355
19229,18015,17545,17787,23016,29577,27685,26457,37329,28921,29102,28995,30891,30280
18909,18009,17779,17150,23519,28418,25403,27542,31116,35318,30890,31721,29543,28437
19123,18098,18141,17936,24423,28548,25240,26709,29239,26957,30714,30980,29869,32332
19010,18004,18090,17777,23692,29515,26299,27405,29141,27354,28094,33193,49577,43459
18807,18119,17909,17583,25174,29611,26118,27327,28907,28528,29186,29634,29711,27999
18732,17968,17841,17963,25242,29069,27271,28021,28470,26899,28240,62868,31523,27449
18850,17992,18093,17403,24012,28917,26747,28177,27618,28856,27568,30293,30655,29002
18777,18131,17305,17220,24100,27862,26531,40043,27998,27343,29567,29835,30435,28056
18837,17918,17309,17939,25277,27566,27698,26426,28405,27510,30298,30316,36253,31282
18694,17984,17624,17207,24784,27721,27176,26283,35346,28365,31904,31791,29474,34743
18723,18030,17375,17442,24962,27294,26730,27337,27564,28845,29871,29427,33901,29512
18715,18061,17449,17663,25163,26812,26596,27938,28197,28090,29722,30606,31056,29756
18836,17898,17471,17893,37312,26628,26822,27743,29759,29132,29632,45448,29981,26903
18681,17998,17777,17666,24894,26729,27687,27760,28192,28830,32196,30397,31016,30211
18817,17848,17197,17392,25260,26130,28300,28887,27367,28697,31045,30344,30625,27145
18728,17993,17524,17748,25072,28111,27258,26998,26991,27410,30207,29821,29117,28126
18684,17921,17304,17266,25887,30073,27219,26260,26347,27172,30678,30803,30003,28093
18669,17746,17591,17203,25026,27671,25375,26790,27869,27899,30085,30175,29067,30135
18843,17966,17296,17713,25668,29146,27158,27327,27385,28276,29887,31429,31182,28139
18502,17687,17390,17940,32268,29048,26916,26865,28075,28092,29919,30023,42273,29514
20768,18337,17241,17508,24691,24817,27016,27315,28811,27892,30143,38836,31683,30595
19838,18108,17323,17496,24162,23854,27696,27244,26768,27898,28847,31114,30237,28154
19930,17943,17435,17706,20602,22146,26129,26966,26946,27626,28138,30547,29624,30105
18866,17619,17399,17282,19610,21370,26406,27726,27388,27662,28344,31295,29276,27504
18694,18004,17319,17335,19317,20863,26895,35233,30057,28524,28644,30088,31112,28503
18656,17588,22703,17474,19316,20437,26238,26056,27569,27978,28774,29746,31059,30352
18480,17676,17361,17196,20826,20230,25927,26551,27682,27415,28382,29680,33775,28119
18627,17550,17177,17438,18597,20490,26992,26968,27379,27094,29503,29775,39331,29323
18738,17506,17317,17084,18552,20319,26640,35713,26846,28744,33176,30618,29161,28718
18593,17538,17439,20025,18180,19629,25985,25908,27064,27764,32472,33264,29000,27568
18804,17549,17361,17547,18366,22605,25239,26517,26305,28237,30769,31607,39579,28129
18627,17418,17398,17490,18520,20513,27716,26803,27625,27853,34083,29712,30098,30278
18731,17339,17228,17731,18004,20498,27145,27235,28714,27949,29857,29701,29936,30220
18727,17495,17405,22364,18146,24289,26775,26315,28776,26953,32525,29897,30481,28220
18465,17444,17386,17376,17824,21218,25803,27382,28131,28018,49193,27245,33524,36892
18575,17559,17338,17372,18694,21751,27119,28451,27683,28683,29956,28050,39596,43233
18555,17511,19242,17369,17776,20850,25377,26981,27261,28858,29631,30082,279700,32199
18485,17624,17453,17649,17862,23288,25916,27301,35100,27935,30108,27613,28609,31693
18516,17497,17335,17542,17548,24452,26148,27297,25582,27899,29476,43655,30484,31800
18446,17686,17405,17631,17512,22410,37346,26934,27824,33845,29831,28198,30608,34511
18559,17485,17425,17671,17839,21785,25943,27945,26911,27796,30701,29943,30757,30574
18510,17704,17376,17563,17451,21434,26121,26474,27167,27008,29622,29336,30660,29762
18537,17469,17395,17418,17424,22697,26084,26366,28533,28481,30338,29285,48899,34400
19784,17660,17962,17956,17761,21885,25675,26250,27301,28541,35455,27147,39845,30145
19609,17626,17387,17436,17205,30202,26844,27400,37215,27815,28665,30420,30661,45631
18748,17490,17490,17471,18016,23885,25570,28890,26005,27777,29935,35007,53840,31136
18426,17864,17429,17506,17999,21422,26092,26131,26822,27680,30600,30517,30018,36205
18463,17546,17503,17379,17797,23067,26672,27607,36957,27559,30914,36129,30649,30970
18774,17841,17804,17339,18193,25377,26469,27359,27992,27853,29678,31776,29751,35450
18420,17482,17346,17426,21450,26437,27252,27475,26630,27987,29257,30442,30067,45241
18257,17808,17537,17669,21843,27697,25954,26810,27235,27910,29040,32755,34170,30209
18323,17482,17495,17999,21242,26225,26836,27622,26372,27960,29249,32483,40269,30945
18423,17988,17849,23530,24635,26301,25923,26626,26315,27822,30006,29034,30072,30732
18402,17756,17434,17429,23190,26539,26011,26700,26212,28046,30651,31158,30880,27012
18267,17481,17514,17380,23367,26440,25558,26074,26734,28414,30081,31124,31495,29925
18386,17602,17510,18115,25558,27086,26252,27629,27397,27884,29134,31003,30933,27978
18246,17477,17381,17982,25007,25388,25806,26584,27327,27477,29911,46619,30315,32425
18116,17770,17491,17402,24342,26051,26758,27355,26953,28426,30145,29298,30227,42350
18346,17576,17553,17509,23017,27158,26962,27460,26732,27971,29198,30472,33001,27504
18413,17753,17471,18125,22393,27095,26996,26223,27050,28799,29783,29004,29770,30365
18451,17542,17268,17668,23310,25832,26981,28594,26172,27319,30040,32017,30142,30653
18384,17464,17490,17952,22247,25678,25855,26086,26983,27895,27414,40706,30049,28513
18283,17914,17514,17657,23947,25795,26970,28634,27171,28076,27699,30213,29766,27209
18304,17489,17647,17799,25140,28214,25882,27277,36122,28804,27785,29863,30261,28273
18220,18011,17669,17451,23837,25980,25907,29427,26573,27354,28333,32955,31108,34123
18393,17660,17830,17724,23274,27337,26625,26462,26307,28085,28593,33730,30899,39412
18262,17509,17548,18037,22758,28927,27391,26266,27520,27194,27877,31562,31040,28640
19730,17801,17461,17613,23216,27585,27162,27111,27626,27820,28045,30397,34013,28101
19325,17695,17357,17545,24496,27919,26562,29161,28368,27443,27183,30451,36815,30659
18290,18048,17634,17684,23378,26513,26499,27381,27131,35046,27574,29841,28669,28091
18158,17910,17413,17748,31174,25870,26134,27204,27483,28059,27428,29430,28663,30045
18388,17820,17259,17426,22519,26372,28089,28653,26902,29072,28677,30669,28931,37833
18475,18093,17168,17472,23306,25647,26271,27153,27407,27703,28035,30305,28551,32209
18346,18177,17387,17390,23312,26012,27311,26324,26970,27372,27232,29300,27640,30380
18261,18260,17245,17439,24366,27051,26483,28374,26882,26889,26874,56450,28734,29440
18208,18042,17251,17372,21369,26963,26937,27448,29036,30868,30815,32797,31577,28117
18200,18283,17239,17378,20068,23808,26534,27255,26737,27823,29622,30917,40378,30159
18223,22485,17326,17191,21313,24131,27055,27082,26793,28612,30194,31053,28486,27350
18268,18107,17300,17275,19440,21494,27914,26827,36919,27089,30837,31495,27459,28166
18006,18063,17377,17739,18647,22028,26926,26880,27088,27604,30744,30773,28558,30754
18213,18094,17697,17330,19255,23270,26003,27353,26457,29996,30043,29510,28077,28242
18132,18142,17282,17391,18661,21428,24834,27064,25886,28615,29560,32161,29165,28414
18103,18145,17351,17438,20086,22796,26143,27826,27158,28883,29586,46601,28562,30360
18221,18045,17287,17351,18170,23149,25763,27575,26898,27259,29573,30678,29443,26779
18026,18117,17404,17569,17964,21368,27402,27427,26091,27148,29199,30581,28314,27783
18003,18096,17286,17554,17909,24442,26792,27092,27243,27349,29745,31198,28560,42531
17978,18091,17462,17428,17770,33194,25749,26243,28564,27116,30411,31036,27782,31425
18084,18218,17576,17401,17966,21665,25901,26310,27512,27544,29839,30619,29053,32702
17981,18089,17485,17330,17771,20417,26699,26880,25476,29771,29523,29192,28608,31383
18071,18042,17411,17292,17729,21001,26674,28340,26810,28997,29382,35540,27588,30696
22703,18112,17368,17508,17888,24043,26177,27160,27272,29538,28563,30221,32443,30929
19144,17887,17243,17234,17757,23420,26392,26724,28004,29826,28643,28746,37601,47286
18240,18031,17408,17344,17806,21715,25753,27350,27048,30310,29894,30957,27918,29047
18110,18044,17389,17242,18640,22651,27489,26324,27064,28753,29978,31423,29872,29481
19325,18229,17255,17496,17788,23278,26644,27206,26520,30546,30052,30408,30384,29649
18019,17963,17242,17456,17709,21108,26845,27760,27970,29935,29241,31485,29552,30274
17980,18323,17369,17487,17651,22431,27340,28901,26943,29870,30016,30199,29252,30914
17944,18240,17338,17231,17828,22416,26621,27655,27642,29082,30935,31310,29901,48210
18063,17896,17234,17494,18446,21002,27195,27166,26265,30496,38690,36761,29462,31753
17985,17879,17316,17470,19258,20497,26099,27367,34394,30539,30053,30988,31954,29557
18494,17786,17467,17359,18184,20375,26114,27323,26311,29004,30076,31003,33035,30215
18562,17684,17211,17399,18538,20531,25869,26916,26938,29831,28673,29820,28911,35717
18744,17755,17565,17343,18734,22512,26581,27210,26648,31068,35405,31347,29651,29509
18539,17619,17615,17606,19277,23312,27734,28111,26989,29794,30816,29544,30575,280924
18649,17994,17295,17340,21216,24928,26187,27393,28539,30698,30632,30787,30628,30143
18509,17808,17287,17281,24928,25695,25966,26349,26992,30056,37025,29666,31134,38660
18488,17765,17753,18150,22552,26266,26332,26950,26724,31281,28285,29511,29896,30020
18537,17915,17418,17709,22763,27600,26340,26562,27273,31257,30002,40683,33382,31879
18614,17781,17297,17620,24561,25861,25125,41579,26152,29418,29331,30574,29803,31388
18698,17741,17560,17927,24467,33729,25942,26348,28618,30608,30685,31974,30253,29103
18714,17554,17466,17563,23974,26900,26344,27617,27447,30425,30540,30752,27995,31003
18279,18073,17688,17429,22559,26349,27216,27195,26532,30803,29610,30781,30006,30344
18352,17994,17501,17351,22376,26987,26642,26894,26060,30486,29792,30203,29256,41704
18135,17764,17459,17721,22357,26895,26163,27587,27693,30949,29333,28405,30246,28098
18176,17827,17380,17866,23662,27058,26549,27468,26165,31035,29423,27597,29685,28062
18072,17649,17430,17814,23838,26238,26679,27425,28624,31635,31198,28529,29348,30057
18045,17765,17265,17478,25514,26062,24811,27044,25622,31714,29065,44409,29416,28427
17844,17618,17318,17803,24315,25827,26039,27283,26415,31675,29657,27836,30002,30695
17914,17710,17522,17436,23403,25956,26093,27469,27082,29955,29427,28773,38716,30533
23597,17788,17612,17629,24214,25757,27268,27290,26381,30992,28979,28684,30969,29723
18031,17773,17200,17890,23508,26082,25712,25989,37580,32216,27949,30113,29112,27707
17916,17607,17431,17634,24404,26289,26196,27418,27384,31977,28398,30564,29684,29556
17815,17871,17266,17537,23270,25773,26089,26143,28434,31376,28305,31428,29174,30851
17968,17859,17754,17558,23528,25437,26653,28127,25871,30738,27894,46305,30084,28447
17765,17766,17504,17494,23502,25969,26923,28139,29129,31088,28243,31863,28828,28133
22791,18150,17574,17411,24512,26774,26755,40905,26941,30274,27283,33680,29833,27115
17746,17857,17336,17334,23685,27269,26298,26456,26588,29518,29872,31962,31280,28433
17664,17657,17514,17347,24432,26496,26650,27052,38541,29771,29349,30227,39182,30375
17666,18047,17496,17578,25302,28190,25872,27066,26649,29470,29942,31768,30075,28911
17844,17844,17405,17229,24678,29147,27725,27361,27316,28984,29399,30017,29978,29487
