SHIR FPGA 4096 no dequant,SHIR FPGA 8192 no dequant,SHIR FPGA 16384 no dequant,SHIR FPGA 32768 no dequant,SHIR FPGA 65536 no dequant,SHIR FPGA 131072 no dequant,SHIR FPGA 262144 no dequant
3404186597,4490196276,3578981212,3616142207,4437849333,4748264264,4342021843
8689624,17961639,33697428,64337360,130419960,291577685,582313582
8182269,16032293,33702919,63177444,130364257,292267211,582652352
8140713,20281451,33528496,65282462,130374552,294702237,581659905
7987527,16104316,34783196,64218723,130406337,291978302,581951296
8122226,15974321,33544156,63065249,130280716,291854989,581315922
8077428,15944463,33449863,63373333,130551540,291639248,581921296
7904228,16035022,34342306,63106214,130448159,291457220,582189440
7796647,16077317,33666575,65761077,130430418,292112815,582495095
7775857,16105107,33422429,64739752,130355041,291388199,581517210
7753022,16000558,33488689,64850685,130444051,297271212,581592843
7999322,16152296,33436768,64321069,130508497,292155108,581467788
7868685,15988490,33416362,63360810,130569112,292241851,581621585
7777035,16034315,33391408,63771683,130446266,294885675,581441829
7650334,16002541,33527950,65158579,130271134,294737031,581169020
7622099,16024639,33473896,64789872,130571829,294650470,581692281
7618715,15989052,33873747,63615529,130297094,294783134,581441159
7920155,16106290,33422659,64128608,130353503,294855257,582699796
7901458,16028647,34014806,62938309,130397642,315894357,615399513
7760057,16118427,34108411,65764795,141379655,293850178,581020308
7651438,16045045,33464850,65469351,130054054,294243084,580765107
7578431,15982520,33455864,65005674,129866518,293837824,581154054
7615229,18388779,33511731,65248383,129996084,293982434,605048933
7595579,16236394,33447915,65767658,130170136,293618270,580254104
9712415,23117894,33532698,64843796,130137642,293694443,580398837
8040553,16226597,33879567,64768790,130006081,295090407,580011316
7934530,16171890,33334965,63357587,129965584,293848319,580463822
7812748,16192647,33425023,63356740,130233622,293377510,580421112
7756054,16240182,33426018,63327781,129908575,293649608,579676638
7874220,16145951,33528633,65226042,129892437,293552367,580013872
7928944,16129179,34119452,64647295,130041899,293572375,579650582
7789722,16085310,33521760,64956487,130030502,293415238,579309371
7720347,16140570,33356336,64520866,130036672,293081575,580658441
7707911,16192853,33505743,63868721,131531519,293046816,579015209
7678258,16210774,37614603,62756413,130454219,293250469,579279622
7767810,16124314,33380144,65584301,130293353,293117935,579665471
8097357,16144611,33363036,64019384,130355803,293115391,579467067
7948693,16157953,32826884,65068156,130477568,293272004,579421277
7787909,16165452,33517120,64084383,130289716,293271024,579299076
7715995,16107198,33441664,68926560,130335192,293128706,579250305
7821423,16149845,33496572,62716081,132187734,293404056,579139163
7939971,16014046,33529931,70767873,130612315,293008533,579130674
8045731,16106991,33616051,64101512,130289835,298503554,579762176
8020867,16111245,33441577,63310024,130297016,293182383,579254491
7818837,16025516,33347545,62953811,130483669,293363567,579254927
7772629,16784576,33469175,62939409,130413991,293117898,579401397
7708656,16123067,35124949,62946315,130399037,293288924,579451464
7670445,16128575,33436323,63286184,130699545,291287704,579229004
7850651,16199947,33382858,63097501,131306340,290941121,579357732
7949161,15994993,33403215,68779093,132568121,291515959,579924452
7817763,16158505,33372090,63223806,129828379,291047471,579308865
7745388,16384772,33357845,66114877,129769783,291084962,579831290
7667608,16076514,33427368,64222464,129662231,292353865,589892227
7665413,16066489,34278947,62798697,130080101,294094157,579154047
7705317,16101615,34112412,65214125,130265539,292140504,581510286
7781440,16031409,33185128,65871479,130248284,291756338,581410388
7989821,16147609,33163924,64170470,130101669,291848599,581248940
7842277,16826120,33565866,62788991,130504735,291816472,581447009
7801464,16172775,33848254,62789869,130329573,292191375,581309093
7742790,16162628,33469552,62784713,130160064,292031348,581904767
8091209,16118089,33083077,63439120,130271837,291732769,581015234
7992155,16038233,33183791,62859950,130469672,291709712,581270198
7902545,16108935,33168557,65153098,130294546,291752283,581227741
7725148,16124002,33161569,64286940,130597770,292296791,581641144
7655790,16159474,33223906,62976026,130297609,291726036,581274224
7637042,16172782,33491431,62910696,130481144,292478901,581289426
7748933,16101490,33585157,62785655,130583278,291767551,581662012
7944635,16141455,33493290,62877472,130492730,291934800,581317578
7918060,16078900,33198298,62760921,130383722,291734798,583495750
7794510,16296143,33209846,62852024,130591543,291753157,581187995
7763275,16032900,33241334,62832662,130644480,293078622,580233414
7845442,16119436,33537357,65266767,130736418,291562843,584363617
7702530,16104728,33188431,64237239,130566434,292499610,583256885
7866293,16087922,33541860,63835593,130485360,299057440,581855401
7937049,16190226,33867725,65112295,130492618,293745744,582285854
7812334,16030502,33361919,64149150,130494047,293461748,588238236
7783206,17620272,33621846,62764331,130439871,294677772,582869146
7829943,16251360,33328253,64997097,130494332,292719062,582729232
7781656,16141992,33234513,64093677,130492250,293466523,591404628
8094765,16186317,33256015,65006369,130417493,293837547,582914994
7933659,16194945,33221334,64235042,130550181,294122486,583496941
7787820,16192226,33603730,62789230,130376382,294514877,580520641
7747118,16172917,33597184,62809368,130360494,293347324,583018017
7682100,16285024,33659461,62778800,130461822,293355317,622348990
7709749,16119835,33577379,62860947,130490218,294412584,592936886
7644787,16246797,33606814,62738112,130517184,295567707,621505536
9319725,16188307,33618666,65166839,130469673,293597285,619697025
7924967,16172700,33674850,64217896,130201083,293568636,629580777
7826531,16215089,33691893,63113131,130669310,296301843,609447603
7777295,16414736,33601404,63104636,129929691,293577423,648133687
7759175,16273134,33574318,64998316,130480695,293643233,610862147
7911808,16179945,33566116,65086394,130616880,294624323,618707466
8003794,16216824,33558298,63901241,130485429,293609128,627453287
7900448,16114404,33614412,63078134,130410293,293603701,623948326
7779603,16163363,33640644,63145919,130488660,294559213,625104514
7736382,16219427,33640888,63111564,130575412,295186154,627740284
7718846,16250440,33617871,63088851,130358486,293531790,628315347
7695440,16291867,34237945,63504085,130337282,293637587,627885391
8173143,16237192,33573363,63098267,130399916,294516010,628459497
7969630,16222520,33562588,65085650,130583594,293777023,626314462
7881149,16212615,33619962,64256545,130745700,294431499,620198422
11439352,16279788,33654115,63082519,130505824,293896444,616803665
7784548,18916685,33526619,63003917,130516200,296972632,621534564
7752839,16205514,33587071,63072726,130492833,293630150,629006461
8029726,17251259,33711189,72921262,130500052,293918769,621245913
7994287,16622797,33613630,62902304,130427566,294494047,584434911
7854634,16114064,33717022,63099213,130454488,293610680,585839208
7768099,16122098,33545206,66270543,130463360,294866560,621964445
7784271,16299267,33553755,68145453,130470029,295285031,583268610
7761866,16066571,33583535,63453037,130371292,293882562,618180245
7831442,16040464,33741373,62892328,130370957,294096080,587840285
7906948,16026549,33564538,65161845,130366292,294196619,678022265
7768113,17026118,33549948,63962534,130651322,293916511,596688825
7724663,16323320,33576495,63416441,130420237,294014874,628592557
7694131,16155370,34245285,62787442,130428163,293886978,596485447
7720053,16094720,33607847,62739404,130285011,293718496,628406553
7722707,16202061,33596956,62767850,130446053,293790226,609500884
7804514,16122693,33590652,65611904,130407019,293856638,629083493
7903581,16230719,33636015,65928123,130378590,294079325,624438755
8451987,16226967,33632569,65750328,130324928,293849759,661363801
7769427,16278037,33626942,65696787,130358132,293970616,611761902
7694564,16092320,33596631,69149199,130474702,294179991,632882871
7966055,16171387,33616145,66006323,130529610,294311003,663269806
7956527,16456335,33598789,66000044,130512053,294236362,633358138
7799872,16208962,33621904,65955639,130300104,294968982,612490840
7729108,16209067,33620090,66004285,130504297,299997437,634302725
7641024,16239498,33614589,66011986,130517628,293875787,622898740
7715150,16548877,33592636,65746705,130696495,294073613,634293725
7695846,16484306,33660247,66010555,130444654,293938993,629588017
8010593,16186720,33633092,65741141,130243915,293964410,634017702
7939765,16189452,33653146,66072820,130467356,294303956,631777944
7805244,16196413,33498919,65987119,130423208,293984499,633803887
7741187,16226624,33572358,65733271,130416872,294038477,629259185
7719933,16149627,33689346,66158563,130107164,290995474,634239526
7810081,16193636,33408047,66012137,129681483,290789546,629921127
7968549,16311575,33572924,65792357,129663931,291405741,634408712
7986458,16124882,33516331,66182554,130007426,290807413,629081884
7869397,16188612,33507569,65783828,129790311,291054496,633725239
7787206,16283464,33630908,65801471,129813530,290834530,638202112
7726052,16113919,33734373,66012940,130186614,290831550,634359788
7653353,16090960,33653036,65720946,130393199,292383920,629060655
8118737,17413613,33606600,66106024,130346080,290900901,690950283
7896472,17324337,33552223,66029340,130578662,291043010,628943333
7855382,16194318,33622724,66012379,130385247,291105133,633724714
7791308,16154837,33681431,66089149,130520463,290891914,658438499
7747459,16158094,35322302,66151202,130453668,291172160,636227435
7661702,21172653,33686852,65976038,130303086,290958599,635547666
7669050,16406492,33613165,65934286,130404591,291095919,636254842
7847026,16080851,33649433,66006453,130552910,290931514,630996206
7850850,16030343,33650198,65946751,130517342,291083917,691893367
7714572,16117537,33654676,65972777,130392956,291057436,629956268
7722835,16184372,33625701,65903867,130489837,290876262,632809715
7725916,16074983,33635397,66837987,130518123,290952163,630523427
7976416,16188198,34497732,66085132,130520016,290795116,633870179
7975087,16070893,33444807,65980543,130493788,297934967,635186424
7854378,16083686,33455548,65946348,130663763,290907030,633404393
7738996,16071335,33583344,66044697,130287632,293857749,630453895
7700360,16261481,33588616,65954349,132239886,293970332,691989926
7767782,16048962,33555660,66006264,130454337,293923246,629445194
7677918,16133625,33681999,65906394,130418443,294360561,633473266
8082467,16133057,33556827,66104983,130634961,293969582,685929543
7952645,16113929,33671481,66067294,130370901,293882027,633464766
7746652,16031368,33558120,65931407,130519832,294019808,629935055
7714365,16075757,33449249,65987318,130252176,293984168,633527742
7595684,16455484,33536395,66038648,130733650,294263276,656166551
9740941,16135090,33533655,65907200,130190902,294212258,637539655
8449612,16070008,33618480,66075893,129936616,294053390,628867779
7993112,16116613,33552464,65974906,130187112,293914144,633836816
7801734,16099040,37397707,65900228,130607252,293939404,641346007
7747694,16170652,33690981,65927194,130499839,294153902,634467335
7672368,16154656,33629807,66022684,130393548,294022940,629157135
7719540,16111681,33546585,65962704,130507815,294060810,635095617
8046195,16098500,33581217,66046902,130804213,294075393,628738191
7951484,15983671,33503693,66112273,130468746,294333184,635978188
7846292,16074586,33554268,66014160,130472425,294352534,627511837
7779470,16087051,33771592,66076382,130330489,294125809,661662120
7742627,16428529,33524139,65956129,130441457,293993839,652999224
7765890,16079390,33515568,65931462,130366402,294256331,632992068
7712584,16104965,33751977,66047461,130420087,294280898,627190533
8107297,16063311,33559579,66015132,130365222,294617256,633711253
7912113,16080060,33647974,66096088,130312316,294158119,628373382
7809986,16055415,33651933,66051925,130391567,294077328,633126958
7746964,16076997,33548336,66094700,130211469,294137725,628330284
7800193,16090630,33590825,65958280,130109419,294110353,633376194
7922733,16069569,33610075,66019179,130014488,294490548,643294255
7942836,16002319,33560831,66061396,129845818,294140751,632640135
7805714,16277284,33529509,66054619,129809753,294383930,635383983
7714023,16081126,33607318,66093673,129808514,294267853,634752311
7710525,16094836,33588645,66084032,130270479,294347110,630777865
7616287,16105397,33532728,66131521,130496806,295594933,634114195
7671250,16048529,33463715,66142391,130517382,294201934,651363014
7850655,16027959,33632842,66025113,130487997,294178524,633960352
8164180,15979998,33599601,65938569,130479984,294221728,630679981
7823390,16044582,33515482,66209248,130511714,293973137,665232102
7689887,17149570,33626707,66105374,130545235,294516315,633351773
7781349,15973731,33549228,66041928,130422605,294115240,677076443
7714486,16571209,33538861,65953886,130369513,294015734,633639354
7816662,16033661,36707640,66044955,130443756,294215505,636004605
7876981,15963374,33702928,66053920,130457976,294229053,631642507
7814665,15971852,33559161,66296456,130523685,294957609,636212328
7703751,15973316,36095592,66103117,130433463,294026168,639375370
7633915,16032046,33699367,66038717,130526447,294184865,644499512
7641826,16428349,33513535,66057611,130380948,294110226,663012019
8075985,16339642,33500406,66035498,130727975,297134131,593274562
7937945,15897898,33649362,66043135,130478053,294159890,593927591
7784250,16122333,33660259,66118591,130246517,293944398,597583450
7713596,16087954,33503871,66039666,130309854,299314821,592514246
7682978,15994078,33548408,66094403,130271686,294311848,591217259
7725126,16055840,33571036,66094491,130154938,294409844,593256932
7700273,16280058,33581023,66067947,130132141,294225896,594340153
7857997,16084758,33463808,66176476,130266881,294137508,593898829
7900569,16094810,33646439,66015686,130276292,294545506,592362573
7817249,16069548,33540987,66086519,130362479,293994548,632781179
7768255,16052482,33514325,66082760,130210855,295267933,583847286
7650925,16031661,33507915,65915862,130242321,294076296,623878566
8061795,16088425,33555104,66051152,130704824,294090547,581914036
11818164,16102730,33564254,66052227,130166022,293930673,621301166
8453307,16084846,33590310,66003455,130278886,293871056,581797867
7835494,16070429,33563784,66072977,130268088,295056153,622071568
7823071,16137449,33503770,65988047,130318942,293681788,581240354
7753881,16092195,33557211,66076974,130268543,293032372,621002626
7764698,16717216,33487803,66061733,130225067,292929494,581129211
8033507,16079456,33520356,66175963,130187429,293218761,620922164
8022176,16139464,33519736,65911160,130203212,293824277,581266666
7772198,16110009,33632616,66320644,130332131,293673204,620654719
7708458,16029688,33618299,65937758,130275820,293636038,581132095
7693003,16077600,33613559,65915385,130284897,293711880,620925345
7714661,16113895,33473926,66142452,130268024,293759364,593016941
7923475,16022900,33594937,65892289,130266283,294822580,627392045
7973664,16071824,33588060,66111489,130201213,294052286,592770635
7791857,16087414,33648682,66056457,130375062,293578339,635578834
7765226,15986437,33577837,66134695,130297252,293619616,595017882
7878387,16174686,33579118,67028051,130256176,292925808,634822609
11254802,16094460,33418190,66055738,130046799,293891045,614180220
8089632,16129915,33578954,66019928,129740661,293659071,674172257
8012682,16109341,33543543,66042664,129632477,293270807,607872013
7902148,16044737,33527897,66079970,129591690,294134754,636452460
7810726,16128962,33591616,66099832,129682604,292988960,602727971
7748734,16705094,33594435,65907892,129683993,293909742,635789768
7745840,16109554,38526873,66074479,130338048,293983274,620743714
7702927,16181881,33733009,65900145,130320585,293764023,636651582
7829843,16016132,33531691,66025493,130296712,292544642,607463292
8203031,16116742,33558194,65966758,130352906,294068754,684146016
7863883,16085410,33587279,66012324,130429668,294274425,610274509
7796095,16271188,33494591,66012069,130254545,293874770,635817325
7889559,16083535,33539948,66001243,130234507,292715113,610657218
7973317,16039216,33553240,66048614,130458858,293597419,637720816
7925927,16028240,33629313,65996940,130431808,293888601,610002492
7781165,16086128,33536440,66010290,130308936,292889190,635140994
7699906,16004226,33671836,65982703,130296764,293127151,609862929
7673641,16036590,33558552,66083291,130502568,293106915,637654017
7714922,16034222,33610526,66007027,130281403,293696491,609973697
7645594,15996383,33689549,66045595,130290546,292928898,634972432
7801086,16001139,33629511,66080322,130322996,297153560,630518849
8988862,16040041,33580971,66127648,130339143,293708961,636090482
7797292,16059645,33680959,65744115,130262906,293705724,610428632
7679959,16027562,33621252,66041430,130279898,292522374,636057425
7650326,16077692,33543410,66072180,130342880,293051421,610771578
7676465,16012023,33587509,66019277,130190662,294004789,638880853
8056212,16131705,33613688,65856536,130341714,292871511,610815769
8002632,16089194,33626997,66094891,130245445,292787423,635808193
7860887,15983050,33466067,66009328,130351371,293953115,660150116
7808139,16079039,33631173,66003366,130375661,293978909,636883723
7769298,16444250,33574390,66069389,130353867,291489025,610193775
7699641,15944802,33513678,65972853,130268505,290735765,638572776
7903980,16084415,33563541,65861572,130199257,291040368,610354975
8046831,16103900,33579276,66211340,130228954,290963934,636379627
7846519,16003331,33566585,65952192,130324722,290776601,610074851
7805554,16020825,33781980,66057049,130287295,290894725,636232424
7746388,15985092,33578307,65920850,130298144,290345042,660791864
7695459,15967241,33465558,65851032,130302772,290906046,634703576
7734771,15955734,33491874,66135240,130360287,290254595,611159297
8073318,16072728,33568069,65898276,130307600,291004588,635389831
7925476,16069460,33598249,65908593,130436312,292637515,611236725
8745372,16075526,33647276,66077618,130411120,289810843,641517948
9286431,16076427,33625667,66000096,130342628,289852749,611865864
10469561,16066462,33615921,66021404,130276015,290525844,635699610
8459234,16037818,33572393,66047876,130422681,290879929,676359050
7950747,16113609,33477573,66060355,130489049,298014921,656985039
7879516,16063086,33622660,66116793,130377446,291265459,630306991
7786091,16096385,33529717,66083506,130314922,290328127,677539309
7959584,16059957,33644816,66144275,130399575,290860071,647233117
7742088,18002165,33597426,66061405,130291355,289719595,659288848
7751604,18512733,33569786,66293129,130107562,291507880,640437720
7906711,16062284,33627030,66031586,129892341,290033726,649575177
7934325,16011177,33645121,66075263,129769075,290150817,648363952
7786374,16122475,33639576,66036823,129827849,292794253,649587779
7672520,15982149,33786501,66027561,129825000,292821517,650583201
7723374,16132539,33604310,65903969,129766896,294010175,651599530
7598002,16013050,33538788,65965278,130392137,293957319,646556917
7817444,16055885,33536147,66111240,130380611,294142158,646239993
7919243,16043934,33551045,66068256,130417466,294086085,650398832
7790987,16013554,33649743,66058775,130321133,293801249,636630272
7691963,16082299,33553534,65901405,130333586,294457428,624430816
7693416,16082524,33606825,66079242,132018315,293839205,633907358
7632501,16000224,33541619,66151508,130360720,294018925,655905037
7922692,16095021,33592555,66039839,130488090,294130493,633756555
8470521,16095586,33596625,66054338,130378063,294018559,644616023
7916251,16091037,33693065,66078317,130380106,294082539,635962672
7832494,15969915,33582297,66047658,130407161,293947453,642196274
7924488,16155368,33619984,66033133,130509911,294169671,635545934
7773286,16064775,33517993,65969235,130336948,295175073,636273227
7743021,16049459,33652524,66113171,130380553,291926513,633660398
8029058,16029380,33649212,66029458,130468690,292361743,633294392
7869704,15984644,33630719,65992120,130388485,291955226,641219887
8642211,16071372,33485596,66024682,130441398,292009555,633859831
9328027,16078865,33525563,70993373,130388333,291820031,633101407
9446642,16079136,33575102,66052746,130525992,292084533,634434570
8492818,16034543,33632515,66037275,130491007,295586177,632805401
7982672,16094290,33492438,66085021,130509328,292050641,634166952
7878163,16073501,33652362,66124802,130425616,291844387,634033864
7768351,16069049,33667395,66096898,130321564,292144814,634316938
7752751,16102397,33578001,66107840,130383732,291968838,637602565
7734700,16097239,33614374,65976282,130344467,291925756,634822122
7725344,16054144,33559989,66511574,130515596,292007763,634831327
8103793,15975090,33703078,66154360,130372723,292123646,660297161
7947536,16071882,33573265,65947101,130412246,291808839,629896589
7865785,16070857,33664566,66042720,130525455,291880486,631221284
7777227,16030751,33645050,66059487,130463258,291882335,630309011
7681693,16071628,33617803,66105107,130312543,291879485,630489481
7578787,16094180,33571707,66064859,130386242,291781935,632106853
9000731,16055327,33544749,65993822,130494512,292843925,631587746
9370207,16099267,33603224,65971513,130608253,291737806,631363064
9325065,16081567,33551790,66013816,130368462,291730543,633004425
9346651,16097926,33658253,66070458,130459637,291782005,617716723
9368449,16060776,33595625,65991001,130359331,291636835,618174438
9235693,15967697,33621503,66106561,130365766,291634847,618024449
9156362,16117563,33601737,66062836,130425763,292099590,618370489
9260840,16073657,33568720,66106382,130384129,291745002,624822148
9410415,16098754,33642271,66062629,130445837,291913986,618357355
9217783,15991770,33633783,66093479,130445542,291793826,617525084
