x86 inductor 4096 no dequant,x86 inductor 8192 no dequant,x86 inductor 16384 no dequant,x86 inductor 32768 no dequant,x86 inductor 65536 no dequant,x86 inductor 131072 no dequant,x86 inductor 262144 no dequant
6863402906,6719087353,7226018132,7256826904,6805178360,6713898288,6893942288
16144495,29131290,51526647,89079624,160558575,290234466,431003926
16340664,29328629,49679784,88637591,161039991,276221496,412254546
16361799,27178884,49498852,90570021,166594578,270343672,449409372
16314178,27438949,49896612,89259652,158660320,273461499,375092930
16232639,27268373,49718697,88840781,157103426,284026229,395193297
16075665,27506324,49971156,88647090,151105661,280088048,452856702
16004521,27836929,38077394,89092431,163956300,291358299,513107313
16028036,27401545,48732823,89827099,164843847,290063196,410146387
16028319,27244932,49491468,89408505,158330906,287509078,473248962
16009258,27487415,49526549,88810772,170712881,279886560,443482270
16187638,27277554,50300525,88740789,163401013,263715257,413986720
15828231,27266777,49886868,88665455,158593139,261751431,444828887
15753599,27622878,56709647,89286411,159074297,296191889,436481289
15825711,27418037,49707616,89416245,167576035,270191395,471585782
15792752,27418372,49804243,88485913,162094767,286191712,374436048
15805401,27404121,53983987,94670415,151953824,273754964,467192643
15825274,27501018,49651099,88942104,167452616,295193044,376564980
15812570,27887040,49602700,88784445,158797348,290674257,483903007
15837880,27244934,50263631,88939220,164346074,286741483,383064461
15852184,27476527,29915213,88732765,150923916,233240508,498031595
15887641,27452764,49644961,88892911,168948947,287868581,422160402
15843021,28486746,49862181,89199747,168395309,277975417,405297368
15876391,27291428,49693367,90999060,161574223,275789662,418882616
15880389,27569145,52138022,88809372,150107380,273379527,387370083
15851480,27589916,50816464,89196735,158249108,272679067,455324039
15878604,28635946,51372247,89090604,160792475,275018791,428009662
15967908,27334337,50983031,89002560,154842121,294168140,378586299
15898889,27387766,49991393,95746780,164200262,268494809,415994619
15839038,27387792,49954531,89884636,161356768,287509445,495027739
15940907,27501769,56950917,89086445,160900963,288401983,458028391
15907012,27469958,50200634,88900215,166295129,280290192,486508303
15834440,27337733,52651273,89241511,153399882,294735359,433374266
15934764,27443099,49692500,90816676,160929787,285368507,499137611
15854063,27536391,50145581,88651368,160035749,289980891,400244389
15812926,29638935,49703540,88170252,168434481,273766784,541686206
15800715,27470769,49500879,81441708,166116382,296043498,523174300
15902826,27497211,49791092,89394422,165061467,303296787,446747751
15897491,27496548,49437240,91024299,158327602,292592656,511739226
15884970,27403673,50204976,90929009,163931122,297654845,512191622
15929114,27455233,48100274,88467428,150623282,266316609,578534378
15915376,27389552,51136504,88582589,160761906,289486555,571854073
15884791,27543721,49534701,89093689,149605754,287748377,518013901
15850873,27541725,49459904,88862311,165548910,278744400,579447876
15756096,27908014,49553322,90710377,155180278,266390898,613883433
15815320,27810015,49689383,88617072,154955956,250780688,586391705
16102525,27485707,49306349,89386259,161486443,264323183,688828713
15842477,27364123,50113037,88533070,153977606,259004822,596293669
15817627,27297002,50290086,88957858,166893193,266992095,674484333
15444576,27189165,50112763,89017818,160610277,263502722,574651563
15550466,28357698,49549933,88625614,160468947,260093456,720396587
15809022,29701650,49589551,88899141,163248518,286307978,622627322
15928441,27544991,49553955,88351522,162763460,274014711,626431362
15866938,27404895,49687369,88845453,163251806,256912713,656758985
15821141,27433646,49603852,88861242,158072438,269314814,652632859
15820145,27413665,51839901,89315542,158511014,269440902,616450456
15902831,27515082,49907309,88568046,163159899,274560224,623314415
15873781,27449328,49585357,88554214,160761033,280760667,638682414
15822348,27485975,49587871,88585726,164656816,266779228,663279917
15883464,27457278,49897972,88729845,160878097,273458992,608412547
15902181,28991647,49496541,88746870,158661308,271498644,665443011
15846822,27372072,49536812,88508185,158404498,287407918,638935128
15851575,27396874,49788858,88510743,163896475,286713636,703728493
15896659,27409547,50208066,88451525,163680534,279007895,586048803
18685618,27472087,49513599,88550960,159329651,274472745,652688468
15897077,27500169,49321058,88668237,157950387,285287957,812477213
15831752,27387454,49477862,88605961,169224033,296595944,730828517
15954760,27427541,53208239,88728070,154710589,293070165,669255860
15858229,27176793,49493419,88429586,166043541,289955478,744557136
15832752,27225413,49724339,88802779,167118318,285971937,657324483
15864286,27217279,49576311,88401661,149978432,288880340,556775781
15973822,27349448,49643503,88511739,161069748,275429152,730491969
15886052,27217286,49701842,88793120,161819123,288246325,744785524
15861120,27348808,49674734,88559220,158635347,285069609,799676176
15836761,27356712,49871146,88106847,164552545,289849355,875594934
15801257,27304787,51472733,89350669,160496878,293060950,687584483
15828337,27195397,49677631,88604949,150633935,265195801,717893185
15911799,27454330,52211874,88944098,153032985,292320791,731197887
15797576,27349322,49469062,90375771,158227163,295597618,738672578
15921152,27324542,49765190,88660167,163423545,289771471,718692290
15842586,27124921,49722498,88660421,149697013,274423743,737562304
15986423,27103737,49864874,88483930,163725728,289964745,752224982
15938254,27240012,51209311,88707200,152772912,278176588,728393477
15951698,27380533,49776441,88542774,167146545,267874696,707014507
15922802,27222337,49480127,88468322,164820285,279169657,730921901
16647519,28080562,49617031,88673568,160254856,282724374,751195432
15881500,27234466,49646599,89715590,163545079,286929254,727990242
15957670,27328344,49676774,88546566,151291410,268237657,722339147
15801211,27330170,49538701,88713826,165490112,266557297,723453764
15945035,25494544,49397704,88666439,150615502,296607647,718992725
15962839,27105965,49456610,88737786,164039203,273365365,652244837
16429377,27330567,49482300,88927317,163912994,264730265,699857234
15583160,27381057,49951600,88542176,161240977,276871823,720647777
15905727,27306284,49791218,88775500,164075143,268438306,751100891
15838320,27051638,51181456,91501965,164046868,277212217,720938423
16025945,27284119,49730276,88689831,164443501,276225863,673852245
15997888,27285664,49768126,88686001,161600438,287935069,704409879
16003600,27207545,49717628,88747378,161742756,278389399,715313717
15978091,27252565,49696444,89316015,162825317,282442659,705363986
15979324,27506467,49666620,88431321,164283620,278729104,811579838
16014158,27334280,50017668,74471587,172473889,271296897,706415896
16442179,27150971,49507030,88711020,162700412,270679447,673425525
16252977,27789604,49551724,88446475,164350374,290402281,741030378
15592265,27743052,50369068,88677328,164724104,275191243,722588751
15660930,28893678,49765901,88701220,155591219,283221393,728039509
15616687,21648590,49506732,88502965,155170316,289388885,724381883
15510660,27309693,50283290,88877103,160346441,290544714,741783583
13619738,27184218,49641312,88822940,166741190,273056831,687927263
11734534,26625967,50003685,88317324,165355826,273427127,886032210
16582610,27356847,49602268,88420548,163975604,292692090,714976356
15534172,27350540,49346762,88713887,163482107,275561601,686116337
16084140,27311048,49565162,88857549,166168209,274821929,724143165
16185898,27334194,49753826,88505008,163409582,279957517,719423580
16086887,32412145,49339695,88847294,159057998,278209733,710339033
16078539,27368425,49671151,88870034,165642177,264879899,689873132
18637272,27380810,50048977,88625641,163478453,299894069,745824360
16554322,27411954,49616858,88468634,167342171,289053388,745376182
16525694,27360788,49625107,88549875,165684008,291342729,707226787
15899411,27291465,50159324,88776674,153558255,294668429,740273029
16322794,27258588,49519245,88900729,164486561,275165277,681977550
16455752,27352707,52279036,88573446,166280113,287856616,721934338
16403685,27280097,49809276,88672205,157144158,269615330,693683339
13069612,27389270,49553214,88418045,152442841,288486775,743784453
16472658,27304134,49711915,88639578,150362973,277785027,704265226
16014216,27365116,49642654,88714412,156464181,295813717,693299289
16436718,30241277,49596720,88766053,160930197,268223621,677571179
16345012,27429432,49696509,88685739,166617479,292697208,719627291
16308764,27341201,49595929,89338411,169784086,277927612,697290815
14599833,27388169,49670082,88637472,163561540,289812351,640360843
16602393,27479121,49625775,89630462,154965857,251592361,652744528
15755823,27358724,50402015,89013592,165268017,274675784,794825394
13271617,27496915,49489668,88570847,161228946,277430685,690830724
13803951,27371892,49743015,88906951,162673700,276953573,580856194
15529504,27246707,49468912,88668565,163445385,262594958,799539046
16363660,27428513,49705530,91060804,158356027,311427132,649454586
16310975,27414851,49535831,88682699,158323629,285937550,681379167
15720660,27343706,49695126,88562482,158673112,280804546,719373168
15498364,27326766,49654327,88647109,160749925,269566416,700520586
12611428,27281138,49771058,89450503,158340510,268903646,700461949
15493369,27324006,49520013,88968433,157367885,275012604,740569152
15528771,27307200,49656475,88676336,166618008,279722859,724587428
15757988,27420181,49527673,88540045,160458028,289751428,638106348
13361254,27379768,49703618,88689865,154333441,292017904,662798921
14321779,28818700,49725691,88754474,151999556,271585789,689894877
15595339,27354894,49329233,88805840,150255339,268495823,682106684
16045545,27303428,50239926,88850928,168753943,260807506,723767303
16591683,27186656,49658980,88798255,164576153,287919864,747657489
16266225,27333446,49543139,88396602,156683905,275493584,709550845
16207168,27281903,50413973,88914986,153835094,279248703,679610386
15587104,27437833,49785375,88679719,166109500,286900639,959116338
15550723,27423430,49432434,88854729,163603638,292982875,741378420
15562146,27515108,49599367,88353551,161331901,297876366,771001667
15499861,27389851,49469616,88444973,99264278,278172476,853820679
12933048,27369732,49601487,88252697,163861917,261756570,674315696
12800658,27324088,49822340,88782952,164566874,267152527,726181847
15889136,27239000,49488370,88597821,163419187,271959743,710782491
15461524,27479614,49492746,88654394,161279336,275809202,704736478
16515608,27284726,49587161,88377676,163559657,288805970,690517902
15694490,27437868,49626612,88823653,158840393,289574917,762894216
15642456,27370676,49565659,88856298,164038259,286742799,720410113
13099536,27332289,49647037,88781919,150443905,289836191,731890227
16453276,27404977,50429822,89016511,161131329,290080006,705128032
15656947,27384330,49686430,88698308,158455658,286402109,681698580
15482030,27306569,49564938,88603178,158990161,292833782,697468982
15550151,27282422,50283809,88923841,164777035,262917250,703223667
13062754,27370626,49683931,88882155,165638947,277874118,630031259
13618619,27330509,49783067,88630694,151450645,271169450,644125391
10921012,27339649,49628030,88706102,163187567,284051365,720298595
15578810,27295879,49807532,88654636,158406839,289239492,718375330
15702173,27240241,49629985,88720717,163135005,266307483,715760445
12494624,27395138,49505098,88632579,163109673,289444337,711090928
16080318,27437645,49713716,88963595,160606640,288658576,694153918
16466975,27274353,49597595,88713012,164371866,284656535,690137399
16574767,27303488,49417797,89007861,164296336,273895979,713074360
16606032,27348153,49617585,89677002,163264004,278576695,729422020
16516823,27297130,49686271,88701350,159133839,276098112,702525682
16509720,27383532,49821387,92691520,164078818,287662880,696869148
16463458,27410228,49742449,88521802,160881463,296299227,702461957
16636872,27198140,49756391,88871464,157173237,301541328,725284849
16511686,27353402,49522340,88309209,163748376,291892287,671849042
16611827,27429388,49679599,88368948,161364347,291755766,879209808
16634440,27300227,49545806,88748537,161424941,277601155,700224479
16458360,27314408,49678677,88519991,160764426,289011439,721474973
16631548,27353738,49515268,88815332,163864049,290509125,777127568
16628912,27382127,49531341,88414428,161207183,287576591,717162239
16617357,27426206,53436678,88613783,158487500,285849770,725511766
15735495,27260127,49842519,88638664,160876335,287044716,692716937
14119148,27262263,49702209,88635050,161455451,270780153,747464327
16467533,27287690,49548059,88384350,161005374,292413986,727334316
16477829,27350861,49707872,88483028,163115056,271671639,759700252
20343036,27346114,49781244,88510333,165042864,287381894,764301066
16752986,28924178,49821523,88582032,149840131,293000161,718857440
16522752,27316798,49632031,88392704,163607010,288997924,721660725
16643621,27273591,49647341,88538355,163771139,279380007,712799998
16531058,27309032,49507837,88645088,163794974,277234943,720332520
16577426,27335604,49915431,88449298,163157791,259711749,660137523
16597023,27293963,49729648,88653685,160656196,293719160,691990366
16473018,27390814,49621647,88452001,149905437,286661956,688016937
16486596,27351655,49639264,90448352,160054078,295192559,730592521
16436789,27387085,49743226,88780239,149540269,197356708,699326452
16523408,27357988,49605084,88756148,163060752,287277369,686704270
16462151,27311351,49707881,88786327,150290300,275011059,684208996
16597946,27314051,49392309,88248044,161665559,292880910,720934340
16511401,27313937,49699100,88706548,158292957,276403862,662083292
16502895,27268170,49526928,88822633,170455553,270845200,680206318
16545933,27289217,49388003,88672659,166476346,293711766,604297431
16534787,27371761,49726826,88421917,165253258,281193656,700533857
16526026,27315966,49655426,88648985,152815046,230193175,669332625
16521031,27365291,49583010,88592337,157620427,274481078,662310062
16477650,27339820,49593005,88691649,150621306,280712548,707146138
16566236,27348876,49860320,88786129,161123843,295988450,704783002
17198335,27322818,49635829,88627260,154949292,286288382,728617864
16614947,27333956,49825836,88591576,160660427,288956612,625005768
16374812,27351542,49591630,88369672,163617470,289869086,719157926
16453927,27363224,51938369,88811247,164008724,286425308,655104249
16468840,27229140,49740771,88628636,161447644,273644016,738140784
16369878,27287055,49778925,88393775,159863609,291946808,683179211
16736285,27297187,49739642,88563572,165027336,289810838,711732155
16230452,27313503,49765824,88657907,164220372,287175934,622749560
16247142,27296317,49439984,88890404,166258198,293245276,691642007
16216614,27312855,49710041,88882936,158970319,291906908,798821804
16342705,27228388,49581024,88745193,153729990,291656749,632165999
16533587,27357252,49772457,95371137,163320932,291243205,687025613
16506949,27343506,49592821,89258880,150725101,275516645,775680799
15463297,27177860,49765709,88357883,155471006,269062821,655603813
16305441,27336138,49886083,88651443,162816903,288000647,674046620
16529376,27375592,49658034,88451966,160382285,298520881,723923162
16444683,27330310,49618826,88587589,155710016,294437526,724276802
15478156,27308910,49884473,89792868,164436706,287768262,670951192
13746928,27345468,49528838,88860566,166514468,285986524,737288251
16274589,27265137,49634411,89055110,150214662,291625977,667702169
16335488,27241379,49638640,88650713,162532915,292360201,628885627
14514383,27295850,49549553,88748679,161064240,278815116,676598119
13153189,27433425,49665105,88734962,163965313,292437557,698554729
16336546,27394417,50129636,93628395,163624062,287416324,729239726
16503762,27289005,49867756,88513821,156614505,294027487,619115794
16550720,27259973,49779271,89351058,163938663,272930736,673061062
16406671,27267282,49611081,88624559,159655163,273820168,706011286
16480786,27361005,49575719,89050206,161510986,274376409,689322648
15943021,27269882,49663206,90682436,158771965,287336445,656235814
16438777,27305688,49699889,89895913,152441795,263782472,698728701
14611453,27291368,49771006,88701999,156848979,288237103,687368341
12629837,27353073,49690035,89660126,156484047,265717450,744811606
16395434,27349178,50712080,88599526,163296774,279356062,641640170
15952479,27341572,49749757,84839026,164034934,280049993,625826136
16443800,27262146,49641105,88743389,161593912,263218562,828107105
16537024,27333530,49672636,88858191,157724620,291371941,580441080
16484854,27255752,49465782,88780497,164333675,288826534,606946619
16431280,27280395,49870550,88935217,160936124,300046991,650370461
19931832,27322010,49629977,88958085,160388830,266360499,668532511
16593337,27373378,49485690,88853920,163806666,281357349,699768314
16356893,27315333,49665394,88680358,161404151,298518296,599190994
13928198,27379682,49684149,88806713,162339010,287739322,645896209
12534182,27301569,49832425,88793332,161768969,294488218,604385801
16221971,27301721,49735215,88479842,159410137,292237215,607757927
13818547,27258392,49557677,88575542,163967546,280823636,679751742
12644937,27296271,49730989,88527948,167967007,272224777,697202140
16305493,27291065,49788770,88976073,163473641,276038448,667282555
16236676,27385967,49650622,88553451,162080788,267776499,722377083
16173031,27261543,49832008,88837070,165039173,260995495,658978892
16806135,27258787,49711844,88999934,165132980,281014695,669684910
16394659,27325334,49562264,88755101,162693425,280807743,687798768
14453861,27560436,49520546,88880384,166807667,276840349,632698103
13330724,27522368,49701689,88562993,163181354,286239539,665049089
11569393,27543157,50144603,89480550,164971691,287883988,810578910
16292611,27763787,49581841,88547551,161117967,263701249,597841608
16361070,27434876,49675531,88823762,164591748,267629397,745427479
14543289,27675754,49584871,88949604,165469519,280774593,748709310
12672709,29232229,49577060,89577004,163838320,291156917,668996268
16362868,27492141,50379948,88884533,165837842,287068910,697346105
14494107,27507551,49744981,89521179,149505937,281110434,687905006
13141852,28496391,49742961,90556005,144628023,275936366,666142614
15413621,27740134,49693882,89065379,151513101,275468618,686611447
13652479,27582103,49921342,89011549,160856874,274978593,632537949
16266135,27666281,49550685,88686315,162856672,271401811,692335615
16396481,27597632,49824258,88637401,151267301,274247956,688744522
14004805,27495754,49833691,88581196,158200650,286999403,732821952
12577526,27749453,49638722,88876039,161665973,269562599,572776429
16514408,27392466,49801353,88924082,159869758,289939854,645501258
14080344,27459385,49825702,88578919,149295145,266861055,735638580
16379962,27479670,49692773,88871761,163838395,263298483,710441954
16328106,27484066,49631968,88454870,150112170,293608957,712218685
14049174,27980393,49773928,88667814,158580033,271535915,717275286
12659908,27355199,49888147,88652780,163621527,275441076,637277128
16277160,27404067,49741459,88514506,162538291,290651034,698321711
16380936,27298530,49589603,88755901,164108502,267665320,717452241
13910940,28679279,49844625,88823177,160827251,272507736,653550452
12739981,27330128,49734229,88641299,162068854,284004563,634875876
16368551,27200187,49753998,88722953,156535736,290411604,679666366
14550202,27632170,49853328,89021017,150001368,292256673,783759928
13236815,27631333,49624546,88817514,163083794,274983011,627101460
16466599,27401820,49724496,88657659,158575606,296202596,726794495
15536861,28886144,49795833,88932085,150396290,295206019,622293331
16158321,31444957,49822142,88723414,163223597,276647718,676172952
16443495,27226615,49783143,88726836,149044887,296495729,630414487
16528053,27187767,49829030,88260144,153603208,288346252,762922556
19147485,33359360,49707579,88693654,158737920,275742272,677223809
16607713,27480274,49885683,88869718,149824852,290566656,724199058
16590458,27386055,49682858,89042305,162215738,263675348,672290166
14700672,27408032,49654186,88890992,149679333,261335369,679264632
13164317,27697219,49724122,90446473,165443512,286701719,682851561
16408443,27321574,49943318,88687011,144662984,286575931,614431017
16533895,27278550,49787769,88926600,166149547,281880979,673434183
16466546,27628372,49911756,88776436,148857993,306115888,627967340
16558653,27387194,49754662,89012539,160417852,290037946,703217162
16597407,27465441,49746430,88780971,163339805,288764752,665535243
14688700,28295755,49633408,88811544,162960416,290740731,669641169
13154587,27384447,49538395,88644710,163897214,288449791,637959233
15506907,27250539,49733424,90327307,163246676,271694781,668645862
13025369,27432570,49736840,88936867,160569797,283218296,628412377
16307733,27479628,49740025,88509327,152422466,291581361,699363160
16420623,27763752,49750335,89897252,159876831,284686763,567183308
15398411,27314776,49691859,88561383,167735777,284878177,650766258
16227741,27516262,49706530,90329450,165510475,289694786,692259666
16359556,27380516,49735654,91236365,164375304,304144124,627478894
17197052,27237673,49835432,88624755,163346434,285419723,701204572
16529230,27363255,49972828,89125425,160162341,283183848,655805178
13919040,27328190,50066620,88549863,168448413,290309784,713313025
12699428,27405819,49704334,88811351,152626052,288093365,623362100
16301472,27440561,49862700,88568250,168261333,291602279,675739110
14605733,27256885,49796156,88639198,160270465,278004883,652617831
13202726,31532415,49741857,88956893,163900418,291197320,713593161
11659319,27502590,49776273,88533709,165602429,297250648,743270776
16272219,27443409,49636193,88447430,158227277,292088107,683647634
16397172,27404462,49961053,88641464,164539358,283552572,663521801
16436746,27335003,49701223,88602161,159688382,282667094,828168380
16448524,27235628,49953463,88539800,160986007,290797115,661954384
14076753,27353963,49695806,88496504,154684204,278008757,617025347
12718461,26721214,49574366,88571909,162716484,266956541,854449685
16416183,27389440,49681401,88930202,150961166,276153382,539660195
14667569,27168489,49669892,88769300,159064140,282389745,614371752
