,SHIR FPGA (raw) b16
0,6217911
1,6287446
2,6207718
3,6283725
4,6214342
5,6199988
6,6191142
7,6296721
8,6206820
9,6211784
10,6227801
11,6196342
12,6308947
13,6194342
14,6186837
15,6288196
16,6280656
17,6293747
18,6247722
19,6194768
20,6203657
21,6186845
22,6196317
23,6274647
24,6297333
25,6201463
26,6202656
27,6179524
28,6187849
29,6189533
30,6188563
31,6190192
32,6193598
33,6192180
34,6193144
35,6188795
36,6201418
37,6287628
38,6196381
39,6204986
40,6184843
41,6190667
42,6197389
43,6306654
44,6193863
45,6188370
46,6188987
47,6178566
48,6210115
49,6204636
50,6201353
51,6289074
52,6202163
53,6315869
54,6198382
55,6219585
56,6212183
57,6187206
58,6293437
59,6184888
60,6193945
61,6196652
62,6194440
63,6198418
64,6220385
65,6194770
66,6302603
67,6304757
68,6189346
69,6327401
70,6196191
71,6191087
72,6199291
73,6207003
74,6200371
75,6213355
76,6182079
77,6191952
78,6189019
79,6190320
80,6306605
81,6222344
82,6196282
83,6181217
84,6284735
85,6197136
86,6192413
87,6184856
88,6204691
89,6194832
90,6194824
91,6272651
92,6186753
93,6197380
94,6208211
95,6187578
96,6195946
97,6193363
98,6185285
99,6196476
100,6197875
101,6184606
102,6279093
103,6192139
104,6186237
105,6183429
106,6202277
107,6205646
108,6190213
109,6195804
110,6182355
111,6201958
112,6225916
113,6277192
114,6205227
115,6187234
116,6281327
117,6240029
118,6237135
119,6539299
120,6380279
121,6222340
122,6205119
123,6201630
124,6288417
125,6238000
126,6189642
127,6210804
128,6209972
129,6184163
130,6227325
131,6198673
132,6197308
133,6190644
134,6207938
135,6196687
136,6297878
137,6338756
138,6309182
139,6284875
140,6191825
141,6311239
142,6207102
143,6299981
144,6213644
145,6200526
146,6206892
147,6190574
148,6291148
149,6194710
150,6208230
151,6211280
152,6197332
153,6195289
154,6186064
155,6221815
156,6199266
157,6200025
158,6202944
159,6212991
160,6205561
161,6199361
162,6250066
163,6306220
164,6212533
165,6217633
166,6209145
167,6192076
168,6189550
169,6293427
170,6203792
171,6281242
172,6307694
173,6213915
174,6206470
175,6212731
176,6184628
177,6184325
178,6180494
179,6291716
180,6185170
181,6291756
182,6176663
183,6215150
184,6312182
185,6206505
186,6226163
187,6201776
188,6187220
189,6274556
190,6199691
191,6226498
192,6191836
193,6216286
194,6297560
195,6182815
196,6266244
197,6202091
198,6190391
199,6202942
200,6208244
201,6209342
202,6235325
203,6230447
204,6197815
205,6226518
206,6324638
207,6188277
208,6290854
209,6195974
210,6244709
211,6187596
212,6292469
213,6206321
214,6287396
215,6291243
216,6197191
217,6237731
218,6315586
219,6188378
220,6225373
221,6336003
222,6299809
223,6210508
224,6346358
225,6190569
226,6343198
227,6255260
228,6453150
229,6475600
230,6528292
231,6474134
232,6498482
233,6487759
234,6498554
235,6486621
236,6488289
237,6473060
238,6500179
239,6190551
240,6197491
241,6191648
242,6221040
243,6296940
244,6291299
245,6289434
246,6199505
247,6215895
248,6220523
249,6193162
250,6215090
251,6210801
252,6219956
253,6217377
254,6208584
255,6194031
256,6371437
257,6188999
258,6207845
259,6296366
260,6201876
261,6207397
262,6212139
263,6196375
264,6302298
265,6185148
266,6208044
267,6200324
268,6191320
269,6191250
270,6209895
271,6199471
272,6184998
273,6191864
274,6198468
275,6197033
276,6195259
277,6193425
278,6289593
279,6201595
280,6298390
281,6188555
282,6238512
283,6210064
284,6310477
285,6206985
286,6205038
287,6213743
288,6201554
289,6228870
290,6197612
291,6207304
292,6185646
293,6182544
294,6210558
295,6185585
296,6280338
297,6212243
298,6197978
299,6203327
300,6211877
301,6295747
302,6308739
303,6196757
304,6214419
305,6241556
306,6188962
307,6206982
308,6192117
309,6280651
310,6293452
311,6295338
312,6247857
313,6482211
314,6468068
315,6476139
316,6492786
317,6467410
318,6502528
319,6469079
320,6480399
321,6475444
322,6477537
323,6491877
324,6486010
325,6492280
326,6477925
327,6496802
328,6470596
329,6468533
330,6469570
331,6480804
332,6492812
333,6500772
334,6487326
335,6479483
336,6492165
337,6450262
338,6500524
339,6468125
340,6501000
341,6485332
342,6457272
343,6466381
344,6477347
345,6470753
346,6470313
347,6467684
348,6494854
349,6477124
350,6473820
351,6502158
352,6473204
353,6468306
354,6465911
355,6467756
356,6484404
357,6201757
358,6230158
359,6192265
360,6209793
361,6207134
362,6282581
363,6200296
364,6193659
365,6296208
366,6200954
367,6203360
368,6194163
369,6183854
370,6270734
371,6211988
372,6189278
373,6194574
374,6217903
375,6183864
376,6271218
377,6304962
378,6190320
379,6292128
380,6179406
381,6195767
382,6191867
383,6277851
384,6188183
385,6194846
386,6177136
387,6184579
388,6192201
389,6195843
390,6199538
391,6275352
392,6278166
393,6202167
394,6287892
395,6309971
396,6186922
397,6425155
398,6342452
399,6218075
400,6206224
401,6195141
402,6311093
403,6232903
404,6297108
405,6203646
406,6213337
407,6326539
408,6316563
409,6195024
410,6296124
411,6242227
412,6256838
413,6205052
414,6295574
415,6300295
416,6194429
417,6178192
418,6177859
419,6182041
420,6215221
421,6176041
422,6185910
423,6218660
424,6194102
425,6309357
426,6177790
427,6234069
428,6283749
429,6182386
430,6211651
431,6209402
432,6204549
433,6200666
434,6318226
435,6201278
436,6196443
437,6282378
438,6186502
439,6203738
440,6294963
441,6291342
442,6280503
443,6274986
444,6204344
445,6186308
446,6198362
447,6200462
448,6306098
449,6230536
450,6205138
451,6348456
452,6250275
453,6206704
454,6182488
455,6202302
456,6185783
457,6193737
458,6222307
459,6288008
460,6280796
461,6193870
462,6230843
463,6192771
464,6190613
465,6282088
466,6241957
467,6182919
468,6186259
469,6278664
470,6184011
471,6176053
472,6191846
473,6236947
474,6202498
475,6282969
476,6204395
477,6220855
478,6216485
479,6191689
480,6199450
481,6190100
482,6181742
483,6198304
484,6187144
485,6197384
486,6483688
487,6453072
488,6468215
489,6505993
490,6461504
491,6475991
492,6470950
493,6182134
494,6174889
495,6180992
496,6198418
497,6186183
498,6293984
499,6220381
500,6175833
501,6180807
502,6195803
503,6189037
504,6209766
505,6213564
506,6179091
507,6299500
508,6182123
509,6293703
510,6192506
511,6204214
512,6221757
513,6214909
514,6201232
515,6201505
516,6212811
517,6188569
518,6223802
519,6188093
520,6307732
521,6177994
522,6177631
523,6195506
524,6219636
525,6204942
526,6217338
527,6182878
528,6195808
529,6196730
530,6194236
531,6189727
532,6178636
533,6350516
534,6293449
535,6205611
536,6180977
537,6202386
538,6296516
539,6210538
540,6201809
541,6184865
542,6182492
543,6180228
544,6190382
545,6271221
546,6196574
547,6185823
548,6307177
549,6182442
550,6192366
551,6211362
552,6194751
553,6216809
554,6202891
555,6192159
556,6198070
557,6185375
558,6181570
559,6195703
560,6189213
561,6178997
562,6199822
563,6211185
564,6200551
565,6287466
566,6218032
567,6216808
568,6271075
569,6332809
570,6304291
571,6234165
572,6184536
573,6290557
574,6290485
575,6199487
576,6225181
577,6192670
578,6183981
579,6299390
580,6198250
581,6200365
582,6182130
583,6217115
584,6200605
585,6177217
586,6314233
587,6297167
588,6197974
589,6183761
590,6204031
591,6178451
592,6197918
593,6219570
594,6176220
595,6179326
596,6182390
597,6177079
598,6268974
599,6180164
600,6198645
601,6284182
602,6207866
603,6176160
604,6202357
605,6187796
606,6181101
607,6239571
608,6251127
609,6180873
610,6195199
611,6184528
612,6201834
613,6457405
614,6511850
615,6461915
616,6463891
617,6476732
618,6462364
619,6464405
620,6465675
621,6480722
622,6458816
623,6524895
624,6290792
625,6298726
626,6276585
627,6394581
628,6396992
629,6232860
630,6461783
631,6476962
632,6463384
633,6492825
634,6467475
635,6468417
636,6467083
637,6474541
638,6457567
639,6461485
640,6458978
641,6463895
642,6466645
643,6475075
644,6458531
645,6506944
646,6470789
647,6444009
648,6476764
649,6451582
650,6468213
651,6483992
652,6459696
653,6449211
654,6464883
655,6225375
656,6222377
657,6377326
658,6222030
659,6211427
660,6343272
661,6260616
662,6416292
663,6232304
664,6264738
665,6222269
666,6244683
667,6237281
668,6237106
669,6417398
670,6226768
671,6228536
672,6214290
673,6383757
674,6208359
675,6203920
676,6406570
677,6226562
678,6228972
679,6226293
680,6240874
681,6247562
682,6217970
683,6266433
684,6240641
685,6229296
686,6235192
687,6215434
688,6287064
689,6224892
690,6391971
691,6262917
692,6418289
693,6262709
694,6240777
695,6241356
696,6232860
697,6385919
698,6251852
699,6219506
700,6233552
701,6238035
702,6403882
703,6224512
704,6250265
705,6240714
706,6221189
707,6245086
708,6259728
709,6219220
710,6407638
711,6393174
712,6227806
713,6217957
714,6231723
715,6379385
716,6388891
717,6232164
718,6369796
719,6225827
720,6224697
721,6215279
722,6213413
723,6390229
724,6243629
725,6211026
726,6215907
727,6229285
728,6245922
729,6216495
730,6377392
731,6218882
732,6230780
733,6231076
734,6229880
735,6411477
736,6389896
737,6411394
738,6215117
739,6231406
740,6386715
741,6242957
742,6261706
743,6237456
744,6214416
745,6235709
746,6409134
747,6257460
748,6222044
749,6225016
750,6217774
751,6214208
752,6393767
753,6285935
754,6240643
755,6253059
756,6223880
757,6398165
758,6395833
759,6449696
760,6218397
761,6258403
762,6252439
763,6412319
764,6221024
765,6397221
766,6399951
767,6228183
768,6226788
769,6228379
770,6392424
771,6387793
772,6209323
773,6247429
774,6212568
775,6391444
776,6236321
777,6217633
778,6231970
779,6252895
780,6249320
781,6226633
782,6237037
783,6393684
784,6250330
785,6228503
786,6252445
787,6217916
788,6230789
789,6381157
790,6220434
791,6245329
792,6226349
793,6233192
794,6224146
795,6229446
796,6229663
797,6246833
798,6250607
799,6223772
800,6223615
801,6219168
802,6230229
803,6217436
804,6221300
805,6418570
806,6233928
807,6248109
808,6402303
809,6413607
810,6245569
811,6402728
812,6266863
813,6225817
814,6395644
815,6250180
816,6421370
817,6259042
818,6215600
819,6223435
820,6425796
821,6387578
822,6414362
823,6243051
824,6238005
825,6240669
826,6216144
827,6404318
828,6403567
829,6230265
830,6393939
831,6396373
832,6224854
833,6228658
834,6218670
835,6393073
836,6422341
837,6400755
838,6221806
839,6230920
840,6271611
841,6384077
842,6411259
843,6267620
844,6235116
845,6390071
846,6260345
847,6400591
848,6234761
849,6239524
850,6244219
851,6226259
852,6213566
853,6378243
854,6223817
855,6398576
856,6228950
857,6222217
858,6241159
859,6228032
860,6392922
861,6226027
862,6231329
863,6230157
864,6398760
865,6214270
866,6384624
867,6231157
868,6415895
869,6213928
870,6225828
871,6275526
872,6461888
873,6395974
874,6379928
875,6255095
876,6220424
877,6235071
878,6399411
879,6392109
880,6394488
881,6237941
882,6396185
883,6224426
884,6254732
885,6222614
886,6394185
887,6393718
888,6384677
889,6384673
890,6402248
891,6245594
892,6425006
893,6261952
894,6406263
895,6288944
896,6426090
897,6239193
898,6266099
899,6250784
900,6412642
901,6442064
902,6396429
903,6403087
904,6396004
905,6231766
906,6454738
907,6217223
908,6407407
909,6230915
910,6416326
911,6249417
912,6269057
913,6388678
914,6210742
915,6219894
916,6235707
917,6249776
918,6218966
919,6235815
920,6385528
921,6389591
922,6383703
923,6220648
924,6218852
925,6235200
926,6444221
927,6256072
928,6435870
929,6241463
930,6423540
931,6380868
932,6239965
933,6219163
934,6409235
935,6413939
936,6245018
937,6219459
938,6400160
939,6238784
940,6228433
941,6235756
942,6392648
943,6239160
944,6426944
945,6243198
946,6391667
947,6236139
948,6237385
949,6240209
950,6411025
951,6384668
952,6240393
953,6381153
954,6396595
955,6228723
956,6233160
957,6264045
958,6398498
959,6383468
960,6396680
961,6409282
962,6239750
963,6228147
964,6222680
965,6244570
966,6251021
967,6249047
968,6400813
969,6313527
970,6223834
971,6428493
972,6408171
973,6236205
974,6259767
975,6218815
976,6256648
977,6246679
978,6404461
979,6251261
980,6240991
981,6241823
982,6263515
983,6419437
984,6413832
985,6257223
986,6289750
987,6261279
988,6254896
989,6245615
990,6265667
991,6427101
992,6269964
993,6256895
994,6263496
995,6430087
996,6227905
997,6445068
998,6412451
999,6284238
