SHIR FPGA (buffered) b16,SHIR FPGA (buffered) b32,SHIR FPGA (buffered) b64,SHIR FPGA (buffered) b128,SHIR FPGA (buffered) b256,SHIR FPGA (buffered) b512,SHIR FPGA (buffered) b1024,SHIR FPGA (buffered) b2048,SHIR FPGA (buffered) b4096
203294,225773,268056,305197,380622,583449,1045377,2089697,4274032
192569,227416,268388,295018,380300,539335,971301,1673651,3334443
191860,216853,274127,302190,386266,546503,944157,1713388,3093660
188008,223545,262859,292634,375549,551674,1017814,1665326,3031725
190514,215197,263671,294286,379033,544151,958458,1654374,3065666
187649,214460,266522,297261,377271,554300,1026772,1645960,3015161
192090,216583,258406,293570,386706,545435,1006677,1651495,3259738
188953,214168,254628,292076,372542,545812,959488,1643727,3183902
190045,223993,258737,298418,394934,548349,1029921,1654454,3075207
191343,217445,259507,296026,372363,546294,1037643,1668152,3022822
188783,220057,264420,298753,375614,548323,987233,1692642,3025298
186306,214833,267903,292566,380416,547514,2840638,1652056,2998419
190660,214121,268485,293719,381533,547508,1712274,1906612,3241941
184912,214498,258924,308742,372396,882676,1018816,1666433,3220374
187871,210758,258504,300443,374723,590665,994158,1630161,3132679
187145,214883,261504,300143,391139,578170,992423,1620055,3065729
187169,213714,269284,305713,378237,574468,996269,1633550,3038133
186564,221294,265549,295312,377064,560821,966369,1597340,2991138
194386,213453,267131,297404,375315,557534,969050,1607020,3282983
193793,222729,275858,297817,388931,571711,1000906,1644933,3231511
188457,213642,262291,296089,376470,567203,977954,1647732,3089538
193250,209457,258643,295838,380435,567585,992077,1670912,3046086
191900,213260,269350,293041,376093,564044,998186,1655116,3036604
192472,213782,257213,296955,380576,562865,988856,1625966,3015791
190943,214159,260798,296393,380514,569556,999081,1671007,3253771
187322,210855,263674,295965,374084,569837,1015770,1642652,3227702
190994,218449,258955,297381,372567,555134,990666,1641821,3109816
187697,212551,259750,295161,385147,555544,1006663,1658002,3065697
190760,209577,268320,300784,390767,568366,991787,1632239,3054691
189913,212132,258969,298383,373478,569518,926890,1643425,3167633
185981,217835,256144,299611,374008,552022,985875,1619662,3412776
187406,211160,268076,299690,378334,554593,1006240,1826550,3204217
186531,209540,259971,293586,372544,568050,988120,1702770,3065957
189936,218432,257754,295296,377520,552714,1029926,1633253,3047298
187434,211315,264330,302479,375128,548695,994721,1670809,3027658
184022,212377,261214,301041,371522,550386,959985,1650305,3031527
192438,214139,261785,321137,381957,565064,1004772,1655229,2964632
183704,213694,270020,307029,377246,543630,993476,1660173,3185873
184015,213248,264348,302109,376684,541495,1018109,1637613,3205512
188659,211866,268909,297945,369880,558996,985456,1655157,3110177
187222,212570,272429,300125,379002,558721,1016569,1677192,3094520
182409,232743,258570,296206,373843,560716,967706,1663029,3056259
189248,233510,261858,300586,380158,550770,984976,1631289,3013357
189736,213311,260468,304808,372409,548180,972131,1667341,3239801
186635,216902,261575,300640,388807,554634,983886,1657002,3218709
187606,212203,264599,293534,372160,574154,1042849,1626780,3130825
187788,211465,264626,295734,378393,538234,984936,1629871,3049372
185785,209809,261302,289806,377308,559272,996589,1892699,3032206
186325,210212,262557,292221,385337,557253,1003036,1729189,3295669
188281,212313,254487,290997,376397,545842,1016533,1668098,3247202
187134,210612,264478,290669,377043,564667,1020878,1677204,3109691
190787,222549,272024,291344,374972,544473,973126,1648975,3045400
186373,211384,272357,292292,379833,549385,1028099,1657196,3039803
186788,215361,272857,291106,375239,565191,1151137,1738268,3034092
187270,209467,260730,291407,372270,552954,928105,1676680,3255910
187956,213453,265596,293097,380908,544370,905100,1644737,3205671
184604,210453,260403,291768,381096,560190,913975,1671543,3091248
190489,213240,272054,292029,381493,562661,901013,1661100,3052604
184977,212947,257932,298187,380126,580066,915337,1687857,3007970
189474,211884,264284,293420,379215,567649,903280,1683888,3062449
188398,216137,269740,294665,400617,545022,903521,1655460,3234141
184975,210201,263150,295668,372056,546324,893688,1672458,3213439
186109,215424,265979,292400,378200,546384,881028,1628461,3088977
186943,211196,266973,292891,375720,551537,879613,1666579,3098856
186631,208579,259026,293843,377422,550741,882730,1634635,3014136
185017,211528,260005,293241,372787,561600,888627,1660128,2957751
188673,212010,266605,292600,380901,550774,888008,1662170,3297411
187093,221079,256100,295023,381961,547037,886733,1900573,3211214
191400,213815,267456,291974,378767,550100,890750,1700459,3201711
186692,220943,279382,292491,376306,531239,876241,1695715,4088491
184774,211915,259273,294638,391133,559297,880520,1677568,3071139
187082,211354,263123,291189,371379,569379,877510,1684728,3084484
187859,212749,266862,293368,376879,553153,861330,1640699,4388100
188803,214556,256451,294759,379229,545688,859414,1703075,3266831
187980,210178,259461,290369,376614,535761,866176,1672683,3221378
190664,212246,259965,290962,371945,545092,1002869,1659409,4101928
186673,216597,259308,291808,372422,569741,874153,1655591,3107781
183670,211607,257760,291089,376881,570290,946776,1657056,3078994
187656,219684,266548,292451,382060,533761,855626,1679888,4392387
187520,214101,260960,286955,372719,536057,933517,1647991,3268611
188782,211469,260979,293634,379071,548842,941615,1630846,3249362
190156,214143,260455,293288,377321,541662,993075,1673084,4216782
186790,210999,259002,294061,372638,573709,965930,1626007,3119150
186402,220606,261047,292052,369269,536955,919461,1644511,3081527
186495,214005,263380,292722,374139,551223,977775,1880943,4514808
184656,211776,265117,291702,378786,545553,1004596,1685616,3267104
186136,211965,259315,292872,381084,539534,978838,1641410,3210639
186120,212355,256926,293657,389716,551123,1023977,1646021,4143793
186766,209056,255312,292420,372446,559359,1016278,1672451,3089129
185112,212458,260469,297150,372181,547220,1041370,1649246,3102265
186979,213710,260230,290945,400210,537087,1003337,1654786,4464345
188279,213246,261372,293354,373880,549459,1035854,1637982,3269803
184370,219892,273039,293244,397399,568435,1018727,1628416,3211561
187103,211635,261149,295495,378457,543794,924713,1686440,4074780
188990,218697,262182,307892,389950,545234,1013980,1650533,3153801
186374,211029,270228,291559,377905,548503,1026352,1653132,3142574
187595,212757,266237,294591,373279,541642,1020962,1713291,4497396
184070,217807,275204,309919,376513,543304,1040503,1636337,3242129
186271,212140,282970,290928,388338,549988,1037897,1654376,3216001
190905,214518,259624,293530,372509,561382,1026154,1623455,4065468
188889,211564,253021,295507,392654,558144,1022950,1647289,3117008
188104,218698,267621,290079,376671,546291,1015162,1641465,3125234
187328,212434,259654,293015,396510,547704,961063,1648955,4585677
186251,222817,260844,292009,382769,563587,1021873,1954301,3278598
186188,212218,263740,293457,375314,543811,1022953,1748568,3294541
189811,211117,261697,290903,374266,542045,992542,1712973,4381233
187053,211534,265775,293716,372775,543421,995245,1699399,3355598
185539,209069,269329,293829,402346,573845,1017229,1684131,3413727
189340,210243,257471,293919,376178,542491,980521,1665562,4352168
187662,214629,263573,297556,375863,551889,1000745,1675145,3423584
188718,218464,267650,291847,374186,565091,1016582,1673790,3460662
190017,213725,261763,307654,371326,547104,1021589,1659776,3302795
187688,225944,261130,292701,381898,563968,997222,1675068,3444377
185498,210738,266755,291954,376513,559623,1010798,1676303,4589550
188546,209976,265306,295261,379680,560167,1026932,1671086,3431897
184380,211310,265728,301801,394376,547815,1003842,1627923,3356515
184313,210112,264795,298520,378290,546698,962196,1667712,4226621
188115,213679,262378,299513,374832,547493,1010178,1624413,3211976
186151,211343,269349,302370,379574,547654,1022036,1665873,3149944
184957,215900,265149,302305,378405,546325,1001130,1640727,3955020
187288,215819,265281,304730,379444,540619,1004007,1643294,3254588
185682,223232,257299,300707,371087,550117,1038901,1624733,3262200
187850,212885,263512,302135,394666,546340,998934,1900023,4137465
189104,212430,256591,300463,372146,552381,956609,1776979,3163792
192883,212051,265688,294168,372485,543202,980177,1778925,3141197
184943,214741,273607,293921,378089,578954,1007981,1776865,3981583
188589,215080,257795,292954,378641,541669,989926,1738813,3385934
189656,210442,260450,293674,375446,547157,1009962,1744524,3226638
183957,218015,255040,295382,399419,542972,979789,1671440,3118275
188336,212533,255865,295048,399291,543232,990690,1645929,3142447
187055,217025,257598,293101,373710,543826,1136096,1670669,3981003
186400,211965,257740,291542,378072,544311,923189,1663850,3146718
189574,211387,260142,296916,381815,546791,890788,1676696,3263565
187439,213110,274996,294392,383347,545453,901372,1708256,4293117
187676,209798,262765,302963,375174,542368,895530,1669953,3212985
188688,211771,263993,295078,373352,550334,887450,1644101,3153043
185686,211342,265882,293785,380517,546120,878942,1649877,3917872
185742,216937,259961,295401,374135,549311,897366,1671218,3074842
190074,209880,263093,307992,383084,544473,885568,1903189,3365944
186023,220292,275430,295697,377171,546730,883045,1708376,4142393
188112,209124,262124,295962,376955,548131,873341,1670979,3323205
188331,207366,265704,293519,374407,546476,859389,1677555,3152130
188876,211805,269005,293258,385977,547764,874896,1629057,3978086
186013,211102,260163,291671,372669,560350,889657,1617411,3127872
185499,220303,268497,310940,372913,539734,874698,1632033,3299917
187524,212085,263366,296398,375766,536203,865434,1629653,4347683
187408,216791,253969,300746,387931,551849,872191,1654641,3192019
185513,212870,261341,297993,381336,538387,843259,1633217,3209803
190117,209989,265690,301892,378109,544782,868008,1681382,4037837
186129,213199,264131,290418,368659,577694,857473,1660221,3128069
188600,211812,267191,294448,386028,532906,875010,1654351,3241090
186832,212056,264026,290177,381783,551789,865375,1652057,4314348
187337,212730,259155,293720,375771,545867,949730,1667541,3216421
187905,223362,265447,293033,375176,544709,875115,1626555,3210819
188613,212519,260870,296343,386874,555394,889911,1634960,4120180
189471,221968,259715,293319,381005,549639,898275,1678335,3139008
189078,214955,258813,294142,377118,554632,891255,1628623,3363977
191481,212696,263254,293440,373123,545496,882774,1637695,4343034
184630,216656,258102,302673,382997,546604,900291,1862893,3206271
188041,214975,259406,300924,374027,572358,889539,1707785,3173656
189484,209956,259003,299001,378704,538970,962660,1689505,4080270
185641,213511,272595,298690,376285,550468,968788,1646117,3232733
189708,215856,270212,302338,377819,543774,1029276,1755247,3378907
184365,213572,262002,297930,372135,537636,946613,1701510,4374781
189530,221972,263441,300694,370721,566094,1013275,1690086,3269465
190299,212064,254926,301757,378020,554535,961214,1760671,5082432
186092,221019,259273,300510,401564,543281,1019059,1674230,4572655
187425,214745,257197,302705,374613,566217,994361,1696179,3853484
187125,209321,268335,298813,396366,540164,1021810,1679478,3440560
185706,211128,261862,298746,380905,568095,1023919,1659801,4387688
185686,213459,263630,301266,383868,546882,1070750,1656274,3235457
188540,213388,277072,303378,385457,543936,992065,1659580,3221883
190618,212785,261542,300468,400526,552728,1011422,1645600,4153713
185096,223472,267867,299683,394076,543730,967947,1650769,3133724
187924,213040,274174,296392,372068,549904,1016770,1634578,3287583
187171,217630,257961,302866,379473,563617,1010267,2262140,4393038
187411,212181,267039,303628,380344,543988,1035872,2072040,3233351
195759,214494,274147,300156,379282,559001,1009913,1933452,3234876
185202,213991,257661,301521,381575,567308,1014239,1828171,4120454
184230,216833,259889,298867,390865,542224,1015522,1798977,3148732
191640,210940,268626,306220,390228,544177,1028350,1830032,3313923
185865,211967,274722,300990,380632,546512,1038781,1816563,4349802
186888,218354,270064,302822,374167,555305,1014809,1735949,3292597
195792,213535,285018,303246,373394,569877,1023991,1696552,3454159
187104,215573,272927,305168,387899,542758,1001541,1697498,4364229
188110,212281,255823,301489,397223,553483,1004414,1680024,3204679
194709,214433,264649,300738,378219,545291,1043529,1708969,3149282
190598,212040,266505,291739,378338,554155,1004927,1669033,4422575
190294,213003,261843,293764,375411,550539,976628,1665228,3258840
196851,213550,268610,292831,396817,557810,1017968,1638396,3291941
186278,212982,262379,291877,383507,544557,1012021,1668359,4241319
187989,218564,257705,297547,371346,556574,1039593,1769320,3144884
195786,212568,266916,297195,373902,546940,1036227,1698804,3406446
187052,223650,255418,291067,386469,531425,1060040,1687655,4425080
188932,212233,265143,293879,380996,567592,988025,2019725,3275759
190435,213178,268728,294451,372526,539735,1016032,1818780,3217551
185183,215322,254074,298895,398421,554524,975292,1811236,4018903
185219,213613,257143,298781,371977,562806,1040748,1701643,3212383
193972,210155,265808,296124,373852,548268,1030702,1717884,3274821
186055,213051,258545,297440,374695,569866,1032975,1689315,4252676
188291,218489,261279,292175,377635,554338,1041189,1712116,3282453
194610,210068,267921,294646,370235,544455,1027633,1694525,3362008
187580,220592,264041,290941,374666,539261,1017828,1683472,4554711
185714,214091,265465,293916,377677,572488,990880,1692604,3404405
194837,210460,265149,290722,391449,544514,1076157,1730663,3483526
191607,215120,259011,294460,394183,540836,1013034,1695375,4553166
184645,215213,258031,294103,380060,565054,995627,1668901,3358688
195784,214086,258098,295408,390129,566574,1193802,1690670,3551514
188122,210393,260937,293856,392304,547307,900005,1683047,4470872
186575,222969,258431,292192,388383,557623,874442,1710228,3358350
196420,210023,255075,294527,378781,543865,874724,1705227,3417340
188207,219857,260676,293898,371954,543125,864770,1687179,4293207
185068,212723,262773,291594,373190,549310,867190,1703659,3265768
191346,210426,257629,293127,390825,565774,868039,2196829,3235278
187949,213672,264340,295233,377265,558041,868585,2320831,4131036
188539,209711,284151,311929,388896,542311,867006,1978956,3096819
191840,216048,272435,294616,384560,550658,882812,1988854,3305268
186059,213011,260773,311576,371787,543679,899221,1933768,4324762
190676,221117,256525,293205,380271,554589,892422,1841048,3228224
199143,212546,257941,294157,374699,553405,908769,1730507,3177068
188680,217770,262334,291504,385716,548642,880722,1811322,4037969
186851,213311,265940,309008,375324,545430,876841,4810792,3125648
194284,213954,254623,311912,373300,570019,866234,1805838,3279924
186484,215209,259311,294113,390157,548138,884506,1671468,4274775
185768,214593,261997,295990,371737,568206,896593,1674127,3205676
194686,214009,253706,291269,377865,531503,890127,1664797,3154404
188036,214143,258604,291406,393504,551492,892083,1675972,4103940
185880,223489,269668,290794,380517,546217,882278,1679071,3076832
197300,216551,254051,291280,381100,573175,991342,1651532,3265298
186409,224474,258740,292459,374884,544302,1029121,1847026,4347341
184519,213597,264689,308942,379527,547075,1029898,1689260,3266712
197330,212425,258169,300769,370979,539590,1064137,1620106,3181584
185023,213527,256344,302531,380118,569405,877452,1619483,4041397
185603,212386,262414,298746,386750,542708,1014905,1641891,3114161
191398,210341,257049,298746,378368,546994,943474,1595388,3258947
185582,210267,259435,302467,374772,543618,942916,1610978,4263817
186716,216781,264797,303059,380029,547466,1006593,1638816,3214036
196061,213578,261731,296640,382112,553937,1011556,1697677,3156697
187844,217917,258229,293147,394009,547089,1002018,1653092,4060184
184971,216190,266355,296274,372151,553127,1064033,1747175,3100718
191799,210120,263134,293272,374929,550971,984876,1685365,3299188
188902,211713,253367,293943,377123,541155,1043034,1674803,4327918
189412,208594,263018,294888,385023,552068,1019664,1669199,3264584
192796,211024,259150,291793,380081,564315,1026637,1711997,3161397
186375,210056,266374,296532,370041,555457,1041210,1686317,4106874
186672,216056,264727,308884,373685,533608,1041946,1672593,3139344
197276,211516,265712,312847,408237,570338,1003684,1713381,3287264
186047,218280,272280,295865,373724,536396,1027541,1688445,4351235
186190,215374,260409,295647,390627,544872,999409,1661358,3211214
195777,213176,259938,304358,381275,562725,1044490,1917934,3195564
185206,212694,270086,301622,394841,547094,1032160,1863055,3935658
184154,209392,265129,300199,383019,553416,1035184,1732228,3156750
195830,210729,256810,299341,387552,561615,1045751,1705110,3131327
190307,215558,279105,299661,397423,543144,1051630,1703213,4184952
185998,237707,263003,302858,372600,547729,1019211,1713782,3265207
193965,225153,258428,301134,371063,547212,973867,3417602,3202607
187192,221977,266805,297373,371780,546442,1028154,1711697,3837521
185179,216510,255205,302360,368538,547151,1004580,1698954,3060989
194854,212232,268994,300360,380660,555535,1039527,1702382,3055545
186779,211743,273992,306127,379335,554483,1014012,1716384,4068222
187170,213604,257239,303956,388022,545058,969820,1676464,3032974
194360,212029,265192,292505,371645,566744,1015463,1702237,3118388
187154,211209,269418,292528,372010,546963,1020107,1709253,3851643
188096,221853,263048,292016,373944,564082,1035131,1671779,3047772
194550,213553,261520,292540,378978,551455,1036650,1693520,3236767
183734,220589,267887,292807,398150,539086,1024671,1720429,3987996
185732,214468,262224,294234,373286,546735,1030353,1969520,3132214
192334,211689,257463,293921,378449,536015,1048815,1729157,3082854
187907,215242,257390,293594,400392,542553,1059215,1710765,3936562
188405,211986,257090,293342,370736,548551,1018295,1729217,3099954
191332,216561,259963,291072,382727,567502,1000178,1742156,3164721
185000,212174,267353,289098,387816,544670,1049839,1698855,4039027
186434,216656,257886,294799,371040,554107,1032875,1659657,3199401
194583,210424,256744,294302,389466,540861,1005597,1711030,3102971
187988,219324,281671,295954,386292,570386,984459,1683970,3874607
186612,211770,270117,292992,377535,545084,1016670,1683286,3089221
199712,211113,259387,292583,372666,563198,1021309,1705982,3257535
186636,210155,269425,293076,401620,551061,1042661,1693800,4114601
183919,212068,256143,296052,374628,572309,1070156,1865452,3235911
193272,210329,266929,293474,375246,541358,1010030,1722117,3167591
187184,216964,259021,289777,381228,537447,1022815,1692665,3913629
183857,220717,259820,291667,393942,570905,1041269,1653629,3129733
194725,210620,262387,293235,387317,547194,1070183,1627959,3220784
189201,220723,264881,290394,388605,550693,1007621,1640029,4285155
183471,211057,270602,292591,376100,541454,1180399,1730401,3237637
193910,215006,265805,293798,369744,541392,930064,1863873,3096681
185827,213417,261850,294237,381228,568427,879406,1724252,4081605
187676,213525,264135,292327,385247,544353,892282,1676391,3061634
192849,214150,268493,292906,376900,554446,903990,1677673,3119663
186782,215764,260443,291653,375281,546676,896995,1729219,4277537
185749,217848,257241,295626,377982,546192,867426,1633035,3163145
191268,212650,266955,293151,374762,545576,883611,1633809,3153797
185139,218059,279910,296551,374200,540165,888237,1617470,3999950
191384,213484,272921,314557,373974,556186,896349,1643250,3258377
193323,211292,263460,291759,382737,535247,889592,1629135,3394620
188639,217094,259937,290995,377761,538916,934407,1644781,4409206
187422,209310,257468,291921,390774,556128,907402,1648341,3288255
193763,215839,268446,290707,376959,549811,896882,1649357,3295516
185396,209472,259405,293659,375239,548679,903026,1658804,4185615
183646,217228,257602,291617,383922,543321,914742,1672978,3147809
193982,212040,267614,293887,381655,546789,950912,1634366,3310628
187622,216971,256733,291699,370623,562470,879907,1643447,4243385
188999,209973,256323,293436,374893,553077,890479,1630723,3269616
194931,211722,263955,311482,397823,542161,897870,1623258,3199317
187157,211518,274358,291395,374437,539957,897706,1966525,4123932
188330,212612,256702,293196,372455,533236,1004381,1744208,3090869
196861,209961,265117,294716,400111,545621,971206,1698187,3289807
184265,212415,264544,295074,370006,546819,989907,1660761,4116941
188693,223350,264346,295282,386362,531518,1066025,1664408,3174523
196546,217651,269469,293162,375232,536799,952479,1630159,3142894
185889,212487,259345,290510,377858,544609,1045388,1659532,3905648
188537,214043,260110,290593,380316,576688,958661,1674064,3076458
195259,211282,261359,295409,379653,571601,969740,1663807,3297957
186805,214536,258272,291854,379759,563964,1020444,1638402,4104623
188572,212866,261628,294463,376803,567618,982431,1733125,3309031
200183,218833,265970,292456,374466,551352,1026011,1656060,3263186
188570,213337,265440,288447,382414,550137,970597,1636796,4051715
189865,221547,257017,292017,378013,569686,1019320,1643243,3291782
192836,216327,272488,292165,379568,542109,983403,1623564,3349117
191508,212241,256940,290879,377084,544250,1023072,1673533,4200315
187296,213868,260513,293613,376082,559825,1037469,1918910,3317095
190468,214620,255513,296021,377996,569553,1021128,1748257,3194285
187658,214613,260494,293644,372223,542469,1038382,1671597,3944614
187797,213624,262608,292582,370371,549704,1033419,1702047,3365726
199071,228924,256574,289900,372759,543496,1073481,1746542,3266989
186326,209255,260903,291640,375480,568778,1009468,1705112,4581118
188794,216000,269485,291103,375157,544029,1036359,1699815,3280107
191146,214111,267278,287900,370026,561798,1029565,1674861,3200395
188012,210085,259606,309685,384495,555380,1037668,1640238,4052658
184172,210929,264845,292646,404527,541236,1012790,1677272,3105383
